,RAMP,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),2.45,9.39,Valuation,0.26091586794462196
Price/Book (MRQ),1.46,12.63,Valuation,0.11559778305621535
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.7177,0.7206,Profitability,0.9959755759089647
Operating Profit Margin (TTM),-0.1688,0.2172,Profitability,-0.7771639042357275
Net Profit Margin (TTM),-0.17920000000000003,0.1553,Profitability,-1.1538956857694787
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),-0.14,-0.0752,Gowth rates,1.8617021276595747
EPS Growth (TTM),-1.9517,-0.2824,Gowth rates,6.911118980169972
Revenue Growth (MRQ),0.034100000000000005,0.15560000000000002,Gowth rates,0.2191516709511568
Revenue Growth (TTM),0.17809999999999998,0.1906,Gowth rates,0.9344176285414479
Return On Equity (TTM),-0.1008,0.2189,Effectiveness,-0.46048423937871175
Return On Assets (TTM),-0.08289999999999999,0.10740000000000001,Effectiveness,-0.7718808193668527
Return On Investment (TTM),-0.09380000000000001,0.1387,Effectiveness,-0.676279740447008
Revenue Per Employee (TTM),408336.0,667721.0,Effectiveness,0.6115368544646641
Total Debt/Total Capital (MRQ),0.0,0.39659999999999995,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0004,Financial strength,
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),,0.28,Financial strength,
