,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,173.62,183.9,169.74,198.16,312.15,339.41,,,,,
low,157.73,95.69,102.79,80.01,185.71,219.99,,,,,
change,0.059699999999999996,-0.3884,0.6104,0.15990000000000001,0.5446,0.09460000000000002,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash,,,,,,,121.0,119.0,72.0,174.0,Balance Sheet
Cash & Equivalents,,,,,,,7127.0,6623.0,7489.0,7819.0,Balance Sheet
Cash and Short Term Invs,,,,,,,7248.0,6742.0,7561.0,7993.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,,16260.0,16244.0,16421.0,16074.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,,-55.0,-51.0,-55.0,-66.0,Balance Sheet
"Trade Accts Recvble, Net",,,,,,,16205.0,16193.0,16366.0,16008.0,Balance Sheet
Other Receivables,,,,,,,17.0,22.0,19.0,38.0,Balance Sheet
"Total Receivables, Net",,,,,,,16222.0,16215.0,16385.0,16046.0,Balance Sheet
Total Current Assets,,,,,,,,,,,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,291.0,,,,Balance Sheet
Long Term Investments,,,,,,,37994.0,38217.0,40090.0,42450.0,Balance Sheet
Deferred Charges,,,,,,,2782.0,2928.0,2969.0,2998.0,Balance Sheet
Restricted Cash - LT,,,,,,,2795.0,2668.0,2494.0,2343.0,Balance Sheet
Other Assets,,,,,,,108647.0,100755.0,88998.0,81524.0,Balance Sheet
"Other Assets, Total",,,,,,,108647.0,100755.0,88998.0,81524.0,Balance Sheet
Total Assets,,,,,,,175979.0,167525.0,158497.0,153354.0,Balance Sheet
Payable/Accrued,,,,,,,2527.0,2050.0,2206.0,2058.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,20427.0,22248.0,24544.0,28338.0,Balance Sheet
Total Current Liabilities,,,,,,,,,,,Balance Sheet
Long Term Debt,,,,,,,4956.0,4449.0,4867.0,5190.0,Balance Sheet
Capital Lease Obligations,,,,,,,40.0,37.0,35.0,33.0,Balance Sheet
Total Long Term Debt,,,,,,,4996.0,4486.0,4902.0,5223.0,Balance Sheet
Total Debt,,,,,,,25423.0,26734.0,29446.0,33561.0,Balance Sheet
"Other Liabilities, Total",,,,,,,142344.0,133731.0,122541.0,114478.0,Balance Sheet
Total Liabilities,,,,,,,170294.0,162515.0,154193.0,150097.0,Balance Sheet
Common Stock,,,,,,,3.0,3.0,3.0,3.0,Balance Sheet
Additional Paid-In Capital,,,,,,,9220.0,9348.0,9380.0,9434.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,,17525.0,18153.0,18767.0,19174.0,Balance Sheet
Treasury Stock - Common,,,,,,,-21066.0,-21599.0,-22051.0,-22560.0,Balance Sheet
Unrealized Gain (Loss),,,,,,,318.0,-535.0,-1311.0,-2184.0,Balance Sheet
Cum. Trans. Adjustment,,,,,,,-167.0,-213.0,-335.0,-150.0,Balance Sheet
Min. Pension Lblty Adj.,,,,,,,-151.0,-151.0,-151.0,-462.0,Balance Sheet
Other Comprehensive Income,,,,,,,3.0,4.0,2.0,2.0,Balance Sheet
"Other Equity, Total",,,,,,,-315.0,-360.0,-484.0,-610.0,Balance Sheet
Total Equity,,,,,,,5685.0,5010.0,4304.0,3257.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,,175979.0,167525.0,158497.0,153354.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,,111.0,110.0,108.0,107.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,,224.0,225.0,227.0,229.0,Balance Sheet
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,,,3762.0,3657.0,3511.0,3506.0,Income Statement
"Cost of Revenue, Total",,,,,,,1847.0,1651.0,1466.0,1737.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,,,960.0,947.0,894.0,925.0,Income Statement
Unusual Expense (Income),,,,,,,0.0,,,,Income Statement
"Other Operat Expse, Total",,,,,,,47.0,96.0,152.0,107.0,Income Statement
Total Operating Expense,,,,,,,2854.0,2694.0,2512.0,2769.0,Income Statement
Total Operating Income,,,,,,,908.0,963.0,999.0,737.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,,,-42.0,-40.0,-44.0,-52.0,Income Statement
Income Before Tax,,,,,,,866.0,923.0,955.0,685.0,Income Statement
Income Tax - Total,,,,,,,165.0,162.0,199.0,137.0,Income Statement
Income After Tax,,,,,,,701.0,761.0,756.0,548.0,Income Statement
Net Inc Before Extra Items,,,,,,,701.0,761.0,756.0,548.0,Income Statement
Total Net Income,,,,,,,701.0,761.0,756.0,548.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,,,701.0,761.0,756.0,548.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,,,701.0,761.0,756.0,548.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,,,115.0,114.0,112.0,111.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,,,6.12,6.69,6.73,4.96,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,,,6.12,6.69,6.73,4.96,Income Statement
Diluted Weighted Average Shares,,,,,,,117.0,116.0,114.0,113.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,,,5.98,6.55,6.61,4.86,Income Statement
Diluted EPS Incl. Extra. Items,,,,,,,5.98,6.55,6.61,4.86,Income Statement
Div/Share-ComStockPrimIssue,,,,,,,1.13,1.13,1.25,1.25,Income Statement
Gross Divid - Common Stock,,,,,,,131.0,133.0,142.0,141.0,Income Statement
Pro Forma Net Income,,,,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,,,,44.0,42.0,47.0,67.0,Income Statement
"Depreciat/Amort, Suppl",,,,,,,3.0,,8.0,,Income Statement
Total Special Items,,,,,,,1094.0,-65.0,-130.0,-42.0,Income Statement
Normalzd Income Before Tax,,,,,,,1960.0,858.0,825.0,643.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,,,,208.0,-11.0,-27.0,-8.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,,,373.0,151.0,172.0,129.0,Income Statement
Normalized Income After Tax,,,,,,,1587.0,707.0,653.0,514.0,Income Statement
Normalzd Inc Avail to Common,,,,,,,1587.0,707.0,653.0,514.0,Income Statement
Basic Normalized EPS,,,,,,,13.84,6.22,5.82,4.66,Income Statement
Diluted Normalized EPS,,,,,,,13.53,6.09,5.71,4.56,Income Statement
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,,,,2760.0,761.0,1517.0,2065.0,Cash Flow
Depreciation/Depletion,,,,,,,98.0,,,,Cash Flow
Deferred Taxes,,,,,,,-83.0,156.0,159.0,187.0,Cash Flow
Unusual Items,,,,,,,-623.0,-18.0,3.0,96.0,Cash Flow
Equity in Net Earnings/Loss,,,,,,,55.0,15.0,22.0,30.0,Cash Flow
Other Non-Cash Items,,,,,,,152.0,32.0,82.0,116.0,Cash Flow
Non-Cash Items,,,,,,,-416.0,29.0,107.0,242.0,Cash Flow
"Cash Taxes Pd, Supplemental",,,,,,,986.0,34.0,166.0,367.0,Cash Flow
"Cash Interest Pd, Suppl",,,,,,,203.0,40.0,84.0,138.0,Cash Flow
Accounts Receivable,,,,,,,-520.0,-83.0,-211.0,-132.0,Cash Flow
Other Assets,,,,,,,-131.0,-81.0,-55.0,-42.0,Cash Flow
Payable/Accrued,,,,,,,300.0,-461.0,-233.0,-414.0,Cash Flow
Changes in Working Capital,,,,,,,966.0,-537.0,35.0,696.0,Cash Flow
Total Cash from Operations,,,,,,,3325.0,409.0,1818.0,3190.0,Cash Flow
Capital Expenditures,,,,,,,-120.0,-44.0,-84.0,-126.0,Cash Flow
Acquisition of Business,,,,,,,-576.0,,,,Cash Flow
Sale of Business,,,,,,,0.0,,34.0,34.0,Cash Flow
Sale/Maturity of Investment,,,,,,,13576.0,2439.0,4708.0,7212.0,Cash Flow
"Investment, Net",,,,,,,-446.0,12.0,-33.0,-270.0,Cash Flow
Purchase of Investments,,,,,,,-16681.0,-4218.0,-9465.0,-16437.0,Cash Flow
Other Investing Cash Flow,,,,,,,-133.0,146.0,248.0,346.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,,,,-4260.0,-1621.0,-4508.0,-9115.0,Cash Flow
Total Cash from Investing,,,,,,,-4380.0,-1665.0,-4592.0,-9241.0,Cash Flow
Financing Cash Flow Items,,,,,,,3917.0,1696.0,3837.0,6803.0,Cash Flow
Total Cash Dividends Paid,,,,,,,-511.0,-129.0,-266.0,-401.0,Cash Flow
"Common Stock, Net",,,,,,,-2030.0,-541.0,-989.0,-1490.0,Cash Flow
Options Exercised,,,,,,,1195.0,97.0,51.0,71.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,,,,,-835.0,-444.0,-938.0,-1419.0,Cash Flow
Long Term Debt Issued,,,,,,,4493.0,733.0,2330.0,4680.0,Cash Flow
Long Term Debt Reduction,,,,,,,-5341.0,-1338.0,-2356.0,-3450.0,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,,,,,-848.0,-605.0,-26.0,1230.0,Cash Flow
Total Cash From Financing,,,,,,,1723.0,518.0,2607.0,6213.0,Cash Flow
Foreign Exchange Effects,,,,,,,-2.0,-20.0,-20.0,-116.0,Cash Flow
Net Change in Cash,,,,,,,666.0,-758.0,-187.0,46.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,,,,,8903.0,9569.0,9569.0,9569.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,,,,,9569.0,8811.0,9382.0,9615.0,Cash Flow
"Depreciation, Supplemental",,,,,,,98.0,,,,Cash Flow
Free Cash Flow,,,,,,,3205.0,365.0,1734.0,3064.0,
FCF Growth,,,,,,,,-0.8861154446177847,3.750684931506849,0.7670126874279124,
