,AMP
% Below High,0.0206
% Held by Institutions,0.8351000000000001
52-Wk Range,['219.99 - 339.41']
Annual Dividend $,5.0
Annual Dividend %,0.015
Ask,333.45
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.5
Bid,
Bid Size,
Closing Price,332.41
Day Change $,-0.19
Day Change %,-0.0006
Day High,334.0
Day Low,330.47
Dividend Pay Date,2022-11-18 00:00:00
"EPS (TTM, GAAP)",24.0
Ex-dividend,2022-11-04 00:00:00
Ex-dividend Date,11/04/22
Historical Volatility,0.36200000000000004
Last (size),2700.0
Last (time),5:00p ET 11/25/22
Market Cap,35.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",13.85
Prev Close,332.6
Short Interest,0.009899999999999999
Today's Open,331.29
Volume,164041.0
Volume 10-day Avg,664637.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.06479383778885373
Growth 1yr High Est,0.11785714285714288
Growth 1yr Consensus Est,0.0913254903229983
Growth 2yr Low Est,0.1164394720859162
Growth 2yr High Est,0.1735451848471018
Growth 2yr Consensus Est,0.144992328466509
Growth 5yr Low Est,0.19013429048262015
Growth 5yr High Est,0.17980728687057906
Growth 5yr Consensus Est,0.1849707886765996
Growth 5yr Actual/Est,0.18619833523176482
Growth 3yr Historic,0.12168751764539804
Price/Earnings (TTM),13.8527
Price/Sales (TTM),2.45041
Price/Book (MRQ),10.88917
Price/Cash Flow (TTM),24.09683
5yr Low,80.01
5yr High,339.41
5yr Avg Return,0.18013333333333337
EPS Growth 5yr,0.24124600000000002
Revenue Growth 5yr,0.0257375
Dividend Growth 5yr,0.0869365
Short Int Current Month,1050949.0
Short Int Prev Month,1067551.0
Short Int Pct of Float,0.009902
Days to Cover,1.5776
Float,106.1463
Shares Outstanding,106.4172
Institutions Holding Shares,1259.0
FCF Growth 5yr,1.2105273914389922
"Price/Earnings (TTM, GAAP)",13.85
"PEG Ratio (TTM, GAAP)",1.3
Gross Profit Margin (TTM),0.5357999999999999
Operating Profit Margin (TTM),0.24989999999999998
Net Profit Margin (TTM),0.1916
Annual Dividend Yield,0.015
Dividend Change %,0.08310000000000001
"Dividend Growth Rate, 3 Years",0.0786
EPS Growth (MRQ),-0.26420000000000005
EPS Growth (TTM),0.2945
Revenue Growth (MRQ),-0.0014000000000000002
Revenue Growth (TTM),0.1217
Return On Equity (TTM),0.6171
Return On Assets (TTM),0.0171
Return On Investment (TTM),0.0203
Revenue Per Employee (TTM),1203000.0
Total Debt/Total Capital (MRQ),0.9115000000000001
Change in Debt/Total Capital Quarter over Quarter,0.005600000000000001
Quick Ratio (MRQ),
Interest Coverage (MRQ),13.37
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-07-01 00:00:00
cfra since,2019-07-25 00:00:00
ford since,2022-07-01 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2020-06-10 00:00:00
