,ARMK
% Below High,0.0027
% Held by Institutions,0.9447
52-Wk Range,['28.74 - 41.20']
Annual Dividend $,0.44
Annual Dividend %,0.010700000000000001
Ask,43.9
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.7
Bid,36.91
Bid Size,100.0
Closing Price,41.09
Day Change $,0.38
Day Change %,0.009300000000000001
Day High,41.09
Day Low,40.65
Dividend Pay Date,2022-12-05 00:00:00
"EPS (TTM, GAAP)",0.75
Ex-dividend,2022-11-21 00:00:00
Ex-dividend Date,11/21/22
Historical Volatility,0.34600000000000003
Last (size),485.0
Last (time),5:00p ET 11/25/22
Market Cap,10.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",54.71
Prev Close,40.71
Short Interest,0.044800000000000006
Today's Open,40.72
Volume,614276.0
Volume 10-day Avg,2656757.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,0.5789473684210529
Growth 1yr High Est,0.72
Growth 1yr Consensus Est,0.6494736842105264
Growth 2yr Low Est,0.3839181286549709
Growth 2yr High Est,0.4902325581395349
Growth 2yr Consensus Est,0.4370753433972529
Growth 5yr Low Est,-1.1950349730535486
Growth 5yr High Est,-1.6090757304710792
Growth 5yr Consensus Est,-1.4020553517623142
Growth 5yr Actual/Est,-0.8608093368237346
Growth 3yr Historic,-1.0833333333333333
Price/Earnings (TTM),54.7057
Price/Sales (TTM),0.65119
Price/Book (MRQ),3.50905
Price/Cash Flow (TTM),14.6342
5yr Low,9.65
5yr High,47.22
5yr Avg Return,0.02846666666666666
EPS Growth 5yr,-0.12770530000000002
Revenue Growth 5yr,0.0225451
Dividend Growth 5yr,0.0132371
Short Int Current Month,11499462.0
Short Int Prev Month,11376399.0
Short Int Pct of Float,0.044829100000000004
Days to Cover,3.80656
Float,256.5467
Shares Outstanding,258.7443
Institutions Holding Shares,475.0
FCF Growth 5yr,-0.6346606929767865
"Price/Earnings (TTM, GAAP)",54.71
"PEG Ratio (TTM, GAAP)",1.79
Gross Profit Margin (TTM),0.09550000000000002
Operating Profit Margin (TTM),0.0385
Net Profit Margin (TTM),0.011899999999999999
Annual Dividend Yield,0.010700000000000001
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),0.86
EPS Growth (TTM),2.8467000000000002
Revenue Growth (MRQ),0.0637
Revenue Growth (TTM),0.3498
Return On Equity (TTM),0.0676
Return On Assets (TTM),0.013200000000000002
Return On Investment (TTM),0.0167
Revenue Per Employee (TTM),66449.0
Total Debt/Total Capital (MRQ),0.7092
Change in Debt/Total Capital Quarter over Quarter,-0.0005
Quick Ratio (MRQ),0.83
Interest Coverage (MRQ),2.01
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-20 00:00:00
ford since,2021-02-12 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-11-16 00:00:00
