,BR
% Above Low,0.1307
% Held by Institutions,0.8764
52-Wk Range,['131.35 - 185.40']
Annual Dividend $,2.9
Annual Dividend %,0.0195
Ask,149.06
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,0.9
Bid,80.8
Bid Size,200.0
Closing Price,148.52
Day Change $,0.09
Day Change %,0.0006
Day High,149.36
Day Low,147.78
Dividend Pay Date,2023-01-05 00:00:00
"EPS (TTM, GAAP)",4.4
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.295
Last (size),2900.0
Last (time),5:00p ET 11/25/22
Market Cap,17.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",33.72
Prev Close,148.43
Short Interest,0.0124
Today's Open,148.24
Volume,257884.0
Volume 10-day Avg,623517.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.07668231611893583
Growth 1yr High Est,0.07999999999999985
Growth 1yr Consensus Est,0.07834115805946784
Growth 2yr Low Est,0.07540511154784002
Growth 2yr High Est,0.08487179487179486
Growth 2yr Consensus Est,0.08013845320981744
Growth 5yr Low Est,0.10636818027865291
Growth 5yr High Est,0.10969535857364887
Growth 5yr Consensus Est,0.10803176942615089
Growth 5yr Actual/Est,0.10611206154416453
Growth 3yr Historic,0.06664781628251687
Price/Earnings (TTM),33.72205
Price/Sales (TTM),3.01305
Price/Book (MRQ),9.18254
Price/Cash Flow (TTM),20.74578
5yr Low,81.9
5yr High,185.4
5yr Avg Return,0.10156666666666664
EPS Growth 5yr,0.10955069999999999
Revenue Growth 5yr,0.06624970000000001
Dividend Growth 5yr,0.14165060000000002
Short Int Current Month,1444650.0
Short Int Prev Month,1744248.0
Short Int Pct of Float,0.0123728
Days to Cover,1.88424
Float,116.8677
Shares Outstanding,117.6553
Institutions Holding Shares,1079.0
FCF Growth 5yr,-2.832597250707952
"Price/Earnings (TTM, GAAP)",33.72
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.277
Operating Profit Margin (TTM),0.1283
Net Profit Margin (TTM),0.09
Annual Dividend Yield,0.0195
Dividend Change %,0.113
"Dividend Growth Rate, 3 Years",0.0968
EPS Growth (MRQ),-0.7975
EPS Growth (TTM),-0.0527
Revenue Growth (MRQ),-0.2552
Revenue Growth (TTM),0.1219
Return On Equity (TTM),0.2856
Return On Assets (TTM),0.06480000000000001
Return On Investment (TTM),0.0738
Revenue Per Employee (TTM),405559.0
Total Debt/Total Capital (MRQ),0.6809999999999999
Change in Debt/Total Capital Quarter over Quarter,-0.0003
Quick Ratio (MRQ),
Interest Coverage (MRQ),3.5
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-07-22 00:00:00
cfra since,2022-02-01 00:00:00
ford since,2022-07-22 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-11-03 00:00:00
