,CCCS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),7.33,9.39,Valuation,0.7806176783812566
Price/Book (MRQ),2.79,12.63,Valuation,0.2209026128266033
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.7347,0.7206,Profitability,1.0195670274771025
Operating Profit Margin (TTM),0.0752,0.2172,Profitability,0.3462246777163904
Net Profit Margin (TTM),-0.0268,0.1553,Profitability,-0.17256922086284612
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),-0.37420000000000003,-0.0752,Gowth rates,4.976063829787234
EPS Growth (TTM),,-0.2824,Gowth rates,
Revenue Growth (MRQ),0.0309,0.15560000000000002,Gowth rates,0.198586118251928
Revenue Growth (TTM),,0.1906,Gowth rates,
Return On Equity (TTM),-0.010700000000000001,0.2189,Effectiveness,-0.0488807674737323
Return On Assets (TTM),-0.0063,0.10740000000000001,Effectiveness,-0.058659217877094966
Return On Investment (TTM),-0.006600000000000001,0.1387,Effectiveness,-0.04758471521268927
Revenue Per Employee (TTM),340189.0,667721.0,Effectiveness,0.5094777609211033
Total Debt/Total Capital (MRQ),0.2878,0.39659999999999995,Financial strength,0.7256681795259708
Change in Debt/Total Capital Quarter over Quarter,-0.0003,0.0004,Financial strength,-0.7499999999999999
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),3.71,0.28,Financial strength,13.249999999999998
