,CCCS
% Above Low,0.22
% Held by Institutions,0.9648
52-Wk Range,['7.41 - 13.46']
Annual Dividend $,
Annual Dividend %,
Ask,9.93
Ask Size,500.0
B/A Ratio,0.4
B/A Size,200x500
Beta,
Bid,3.6
Bid Size,200.0
Closing Price,9.04
Day Change $,0.01
Day Change %,0.0011
Day High,9.11
Day Low,8.95
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.04
Ex-dividend Date,No dividend
Historical Volatility,0.433
Last (size),27.0
Last (time),5:00p ET 11/25/22
Market Cap,5.6B
"P/E Ratio (TTM, GAAP)",
Prev Close,9.03
Short Interest,0.0252
Today's Open,9.03
Volume,225005.0
Volume 10-day Avg,745018.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.0
Growth 2yr High Est,0.2142857142857142
Growth 2yr Consensus Est,0.1071428571428571
Growth 5yr Low Est,0.0
Growth 5yr High Est,0.2142857142857142
Growth 5yr Consensus Est,0.1071428571428571
Growth 5yr Actual/Est,0.14440993788819878
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),7.33086
Price/Book (MRQ),2.78812
Price/Cash Flow (TTM),53.42961
5yr Low,7.41
5yr High,16.11
5yr Avg Return,-0.0796
Short Int Current Month,4485029.0
Short Int Prev Month,4064473.0
Short Int Pct of Float,0.0251838
Days to Cover,3.71357
Float,602.05
Shares Outstanding,620.7115
Institutions Holding Shares,146.0
FCF Growth 5yr,0.1849765471075936
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7347
Operating Profit Margin (TTM),0.0752
Net Profit Margin (TTM),-0.0268
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.37420000000000003
EPS Growth (TTM),
Revenue Growth (MRQ),0.0309
Revenue Growth (TTM),
Return On Equity (TTM),-0.010700000000000001
Return On Assets (TTM),-0.0063
Return On Investment (TTM),-0.006600000000000001
Revenue Per Employee (TTM),340189.0
Total Debt/Total Capital (MRQ),0.2878
Change in Debt/Total Capital Quarter over Quarter,-0.0003
Quick Ratio (MRQ),
Interest Coverage (MRQ),3.71
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-11-18 00:00:00
ford since,2022-07-15 00:00:00
cfra since,
theStreet since,2022-11-18 00:00:00
newConstructs since,
marketEdge opinion since,
