,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,82.12,115.4,81.75,81.5,97.71,102.11,,,,,
low,74.4,65.45,61.0,35.07,71.05,78.26,,,,,
change,0.09230000000000001,-0.1404,0.12689999999999999,-0.06849999999999999,0.2541,0.06620000000000001,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,,473.0,488.0,501.0,514.0,Balance Sheet
"Total Receivables, Net",,,,,,,1477.0,1382.0,1422.0,1462.0,Balance Sheet
Invent. - Finished Goods,,,,,,,616.0,619.0,609.0,633.0,Balance Sheet
Invent. - Work In Progress,,,,,,,316.0,393.0,427.0,534.0,Balance Sheet
Invent. - Raw Materials,,,,,,,757.0,816.0,882.0,856.0,Balance Sheet
Total Inventory,,,,,,,1689.0,1828.0,1918.0,2023.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,,193.0,213.0,205.0,200.0,Balance Sheet
Total Current Assets,,,,,,,3832.0,3911.0,4046.0,4199.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,,2403.0,,,,Balance Sheet
Accumulated Depreciation,,,,,,,-906.0,,,,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,1497.0,1468.0,1428.0,1402.0,Balance Sheet
"Goodwill, Net",,,,,,,8587.0,8567.0,8459.0,8361.0,Balance Sheet
Intangibles - Gross,,,,,,,4679.0,4679.0,4635.0,4572.0,Balance Sheet
Accum. Intangible Amort.,,,,,,,-974.0,-1047.0,-1104.0,-1162.0,Balance Sheet
Intangibles - Net,,,,,,,3705.0,3632.0,3531.0,3410.0,Balance Sheet
Note Rcvble - Long Term,,,,,,,,,,198.0,Balance Sheet
Other Long Term Assets,,,,,,,833.0,860.0,869.0,692.0,Balance Sheet
Total Assets,,,,,,,18454.0,18438.0,18333.0,18262.0,Balance Sheet
Accounts Payable,,,,,,,1012.0,1058.0,1178.0,1206.0,Balance Sheet
