,WAB
Price/Earnings (TTM),28.07713
Price/Sales (TTM),2.25707
Price/Book (MRQ),1.85711
Price/Cash Flow (TTM),15.86136
5yr Low,35.07
5yr High,115.4
5yr Avg Return,0.05510000000000001
EPS Growth 5yr,-0.0244442
Revenue Growth 5yr,0.21689979999999998
Dividend Growth 5yr,0.05922380000000001
Short Int Current Month,3212016.0
Short Int Prev Month,2167231.0
Short Int Pct of Float,0.0184595
Days to Cover,2.71132
Float,174.0754
Shares Outstanding,181.8679
Institutions Holding Shares,1028.0
% Held by Institutions,0.921661
FCF Growth 5yr,0.4206327057359034
