,WAB
% Below High,0.0325
% Held by Institutions,0.9217
52-Wk Range,['78.26 - 102.11']
Annual Dividend $,0.6
Annual Dividend %,0.0059
Ask,148.0
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.5
Bid,87.0
Bid Size,200.0
Closing Price,98.79
Day Change $,-2.09
Day Change %,-0.0207
Day High,100.4
Day Low,98.43
Dividend Pay Date,2022-11-28 00:00:00
"EPS (TTM, GAAP)",3.59
Ex-dividend,2022-11-10 00:00:00
Ex-dividend Date,11/10/22
Historical Volatility,0.326
Last (size),1800.0
Last (time),7:00p ET 11/28/22
Market Cap,18.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",28.08
Prev Close,100.88
Short Interest,0.018500000000000003
Today's Open,100.05
Volume,359007.0
Volume 10-day Avg,687396.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,0.14761904761904754
Growth 1yr High Est,0.15116279069767447
Growth 1yr Consensus Est,0.149390919158361
Growth 2yr Low Est,0.10285516696305064
Growth 2yr High Est,0.156389476156918
Growth 2yr Consensus Est,0.12962232155998432
Growth 5yr Low Est,0.05926090713412907
Growth 5yr High Est,0.0836732522897218
Growth 5yr Consensus Est,0.07146707971192544
Growth 5yr Actual/Est,0.07223871590986539
Growth 3yr Historic,0.008220863942091677
Price/Earnings (TTM),28.07713
Price/Sales (TTM),2.25707
Price/Book (MRQ),1.85711
Price/Cash Flow (TTM),15.86136
5yr Low,35.07
5yr High,115.4
5yr Avg Return,0.05510000000000001
EPS Growth 5yr,-0.0244442
Revenue Growth 5yr,0.21689979999999998
Dividend Growth 5yr,0.05922380000000001
Short Int Current Month,3212016.0
Short Int Prev Month,2167231.0
Short Int Pct of Float,0.0184595
Days to Cover,2.71132
Float,174.0754
Shares Outstanding,181.8679
Institutions Holding Shares,1028.0
FCF Growth 5yr,0.4206327057359034
"Price/Earnings (TTM, GAAP)",28.08
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3146
Operating Profit Margin (TTM),0.1265
Net Profit Margin (TTM),0.08310000000000001
Annual Dividend Yield,0.0059
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),-0.0335
EPS Growth (TTM),0.4926
Revenue Growth (MRQ),0.0161
Revenue Growth (TTM),0.045700000000000005
Return On Equity (TTM),0.066
Return On Assets (TTM),0.0369
Return On Investment (TTM),0.0444
Revenue Per Employee (TTM),325144.0
Total Debt/Total Capital (MRQ),0.2911
Change in Debt/Total Capital Quarter over Quarter,0.0001
Quick Ratio (MRQ),0.65
Interest Coverage (MRQ),5.63
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-11-02 00:00:00
theStreet since,2020-11-16 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-11-02 00:00:00
ford since,2022-03-18 00:00:00
marketEdge opinion since,
