,MAS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",13.96,13.91,Valuation,1.0035945363048167
Price/Sales (TTM),1.31,1.88,Valuation,0.696808510638298
Price/Book (MRQ),,3.87,Valuation,
"PEG Ratio (TTM, GAAP)",2.23,0.02,Valuation,111.5
Gross Profit Margin (TTM),0.3175,0.31260000000000004,Profitability,1.0156749840051182
Operating Profit Margin (TTM),0.15230000000000002,0.1429,Profitability,1.065780265920224
Net Profit Margin (TTM),0.10470000000000002,0.1072,Profitability,0.9766791044776121
Annual Dividend Yield,0.022000000000000002,0.0134,Dividend,1.6417910447761195
Dividend Change %,0.5505,0.2683,Dividend,2.051807677972419
"Dividend Growth Rate, 3 Years",0.2477,0.0895,Dividend,2.7675977653631287
EPS Growth (MRQ),-0.1818,0.5653,Gowth rates,-0.32159915089333097
EPS Growth (TTM),0.9763,7.5147,Gowth rates,0.12991869269564985
Revenue Growth (MRQ),-0.0629,0.1259,Gowth rates,-0.49960285941223187
Revenue Growth (TTM),0.0689,0.20510000000000003,Gowth rates,0.3359336908824963
Return On Equity (TTM),,0.254,Effectiveness,
Return On Assets (TTM),0.16690000000000002,0.0326,Effectiveness,5.119631901840492
Return On Investment (TTM),0.2847,0.1543,Effectiveness,1.845106934543098
Revenue Per Employee (TTM),438950.0,403228.0,Effectiveness,1.0885900780699753
Total Debt/Total Capital (MRQ),1.1417,0.4794,Financial strength,2.3815185648727577
Change in Debt/Total Capital Quarter over Quarter,0.0017000000000000001,0.0029,Financial strength,0.5862068965517242
Quick Ratio (MRQ),0.87,1.11,Financial strength,0.7837837837837837
Interest Coverage (MRQ),9.24,10.87,Financial strength,0.8500459981600736
