,MAS
% Above Low,0.20320000000000002
% Held by Institutions,0.9554
52-Wk Range,['42.33 - 71.06']
Annual Dividend $,1.12
Annual Dividend %,0.022000000000000002
Ask,50.93
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,50.1
Bid Size,100.0
Change Since Close,-0.15| |(-0.29%)
Closing Price,50.93
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-11-28 00:00:00
"EPS (TTM, GAAP)",3.65
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.35000000000000003
Last (size),3.0
Last (time),5:00p ET 11/25/22
Last Trade,50.78
Market Cap,11.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",13.96
Prev Close,50.93
Short Interest,0.0217
Today's Open,
Volume,5.0
Volume 10-day Avg,1637362.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,22.0
Growth 1yr Low Est,0.008196721311475308
Growth 1yr High Est,0.04497354497354511
Growth 1yr Consensus Est,0.02658513314251021
Growth 2yr Low Est,-0.03248700519792086
Growth 2yr High Est,0.04147411425892433
Growth 2yr Consensus Est,0.004493554530501737
Growth 5yr Low Est,0.12991844803318883
Growth 5yr High Est,0.17183595822836323
Growth 5yr Consensus Est,0.15087720313077602
Growth 5yr Actual/Est,0.14185273735273735
Growth 3yr Historic,0.14314102564102565
Price/Earnings (TTM),13.96448
Price/Sales (TTM),1.30837
Price/Book (MRQ),
Price/Cash Flow (TTM),10.82582
5yr Low,27.03
5yr High,71.06
5yr Avg Return,0.09505000000000001
EPS Growth 5yr,0.0185147
Revenue Growth 5yr,0.026147
Dividend Growth 5yr,0.1702515
Short Int Current Month,4863970.0
Short Int Prev Month,5602247.0
Short Int Pct of Float,0.021650100000000002
Days to Cover,2.10645
Float,224.7364
Shares Outstanding,225.5291
Institutions Holding Shares,959.0
FCF Growth 5yr,-0.014488246877254696
"Price/Earnings (TTM, GAAP)",13.96
"PEG Ratio (TTM, GAAP)",2.23
Gross Profit Margin (TTM),0.3175
Operating Profit Margin (TTM),0.15230000000000002
Net Profit Margin (TTM),0.10470000000000002
Annual Dividend Yield,0.022000000000000002
Dividend Change %,0.5505
"Dividend Growth Rate, 3 Years",0.2477
EPS Growth (MRQ),-0.1818
EPS Growth (TTM),0.9763
Revenue Growth (MRQ),-0.0629
Revenue Growth (TTM),0.0689
Return On Equity (TTM),
Return On Assets (TTM),0.16690000000000002
Return On Investment (TTM),0.2847
Revenue Per Employee (TTM),438950.0
Total Debt/Total Capital (MRQ),1.1417
Change in Debt/Total Capital Quarter over Quarter,0.0017000000000000001
Quick Ratio (MRQ),0.87
Interest Coverage (MRQ),9.24
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-02-14 00:00:00
theStreet since,2022-02-14 00:00:00
cfra since,2020-07-31 00:00:00
ford since,2022-06-24 00:00:00
marketEdge opinion since,
