,BKI
% Above Low,0.2056
% Held by Institutions,0.8782
52-Wk Range,['52.00 - 84.27']
Annual Dividend $,
Annual Dividend %,
Ask,83.98
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,0.6
Bid,59.43
Bid Size,500.0
Closing Price,62.69
Day Change $,-1.3
Day Change %,-0.0203
Day High,64.75
Day Low,62.62
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.19
Ex-dividend Date,No dividend
Historical Volatility,0.337
Last (size),43.0
Last (time),5:00p ET 11/25/22
Market Cap,9.8B
"P/E Ratio (TTM, GAAP)",19.66
Prev Close,63.99
Short Interest,0.0197
Today's Open,64.25
Volume,407970.0
Volume 10-day Avg,952362.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-14 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,0.01739130434782621
Growth 1yr High Est,0.12658227848101267
Growth 1yr Consensus Est,0.07198679141441944
Growth 2yr Low Est,-0.023355629877368944
Growth 2yr High Est,0.1438154838097948
Growth 2yr Consensus Est,0.06022992696621293
Growth 5yr Low Est,0.03623885172798219
Growth 5yr High Est,0.1219077419048974
Growth 5yr Consensus Est,0.07907329681643979
Growth 5yr Actual/Est,0.06972496183688659
Growth 3yr Historic,0.04706589821143636
Price/Earnings (TTM),19.66067
Price/Sales (TTM),6.29186
Price/Book (MRQ),3.83729
Price/Cash Flow (TTM),18.97811
5yr Low,42.3
5yr High,97.19
5yr Avg Return,0.07634999999999997
EPS Growth 5yr,0.3484081
Revenue Growth 5yr,0.0753274
Dividend Growth 5yr,
Short Int Current Month,2963419.0
Short Int Prev Month,5634495.0
Short Int Pct of Float,0.0196512
Days to Cover,2.79014
Float,150.8174
Shares Outstanding,156.0268
Institutions Holding Shares,607.0
FCF Growth 5yr,0.23765872395997314
"Price/Earnings (TTM, GAAP)",19.66
"PEG Ratio (TTM, GAAP)",5.31
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.1925
Net Profit Margin (TTM),0.1193
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.2546
EPS Growth (TTM),1.5615
Revenue Growth (MRQ),-0.0198
Revenue Growth (TTM),0.08630000000000002
Return On Equity (TTM),0.2064
Return On Assets (TTM),0.0304
Return On Investment (TTM),0.0347
Revenue Per Employee (TTM),242906.0
Total Debt/Total Capital (MRQ),0.5086
Change in Debt/Total Capital Quarter over Quarter,0.0018
Quick Ratio (MRQ),
Interest Coverage (MRQ),2.72
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
theStreet,rating-box
marketEdge opinion,
researchTeam since,2022-03-03 00:00:00
ford since,2022-03-18 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
theStreet since,2022-03-03 00:00:00
marketEdge opinion since,
