,BKI,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",19.66,54.08,Valuation,0.3635355029585799
Price/Sales (TTM),6.29,9.39,Valuation,0.6698615548455804
Price/Book (MRQ),3.84,12.63,Valuation,0.3040380047505938
"PEG Ratio (TTM, GAAP)",5.31,1.92,Valuation,2.765625
Gross Profit Margin (TTM),,0.7206,Profitability,
Operating Profit Margin (TTM),0.1925,0.2172,Profitability,0.8862799263351749
Net Profit Margin (TTM),0.1193,0.1553,Profitability,0.7681905988409531
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),-0.2546,-0.0752,Gowth rates,3.3856382978723403
EPS Growth (TTM),1.5615,-0.2824,Gowth rates,-5.529390934844193
Revenue Growth (MRQ),-0.0198,0.15560000000000002,Gowth rates,-0.12724935732647816
Revenue Growth (TTM),0.08630000000000002,0.1906,Gowth rates,0.4527806925498427
Return On Equity (TTM),0.2064,0.2189,Effectiveness,0.9428962996802193
Return On Assets (TTM),0.0304,0.10740000000000001,Effectiveness,0.28305400372439476
Return On Investment (TTM),0.0347,0.1387,Effectiveness,0.25018024513338144
Revenue Per Employee (TTM),242906.0,667721.0,Effectiveness,0.3637836761162222
Total Debt/Total Capital (MRQ),0.5086,0.39659999999999995,Financial strength,1.282400403429148
Change in Debt/Total Capital Quarter over Quarter,0.0018,0.0004,Financial strength,4.5
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),2.72,0.28,Financial strength,9.714285714285714
