,BKI
Price/Earnings (TTM),19.66067
Price/Sales (TTM),6.29186
Price/Book (MRQ),3.83729
Price/Cash Flow (TTM),18.97811
5yr Low,42.3
5yr High,97.19
5yr Avg Return,0.07634999999999997
EPS Growth 5yr,0.3484081
Revenue Growth 5yr,0.0753274
Dividend Growth 5yr,
Short Int Current Month,2963419.0
Short Int Prev Month,5634495.0
Short Int Pct of Float,0.0196512
Days to Cover,2.79014
Float,150.8174
Shares Outstanding,156.0268
Institutions Holding Shares,607.0
% Held by Institutions,0.878212
FCF Growth 5yr,0.23765872395997314
