,MDC
% Above Low,0.18420000000000003
% Held by Institutions,0.7311
52-Wk Range,['27.04 - 56.53']
Annual Dividend $,2.0
Annual Dividend %,0.0625
Ask,51.0
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.4
Bid,25.0
Bid Size,200.0
Closing Price,32.02
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-11-23 00:00:00
"EPS (TTM, GAAP)",8.8
Ex-dividend,2022-11-08 00:00:00
Ex-dividend Date,11/08/22
Historical Volatility,0.459
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,2.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",3.64
Prev Close,32.02
Short Interest,0.0565
Today's Open,
Volume,158919.0
Volume 10-day Avg,719163.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.006218905472636704
Growth 1yr High Est,0.009744214372715998
Growth 1yr Consensus Est,0.0017626544500396468
Growth 2yr Low Est,-0.3873397405961431
Growth 2yr High Est,-0.22190714492461905
Growth 2yr Consensus Est,-0.3046234427603811
Growth 5yr Low Est,0.14063245528332372
Growth 5yr High Est,0.2013751946609782
Growth 5yr Consensus Est,0.171003824972151
Growth 5yr Actual/Est,0.10955895275701794
Growth 3yr Historic,0.2543534366425262
Price/Earnings (TTM),3.63703
Price/Sales (TTM),0.40285
Price/Book (MRQ),0.75819
Price/Cash Flow (TTM),3.38848
5yr Low,14.58
5yr High,63.86
5yr Avg Return,0.06683333333333331
EPS Growth 5yr,0.3974988
Revenue Growth 5yr,0.1769435
Dividend Growth 5yr,0.1899753
Short Int Current Month,3190229.0
Short Int Prev Month,3679509.0
Short Int Pct of Float,0.056488699999999996
Days to Cover,3.37159
Float,56.44826
Shares Outstanding,71.26418
Institutions Holding Shares,365.0
FCF Growth 5yr,0.0017842335189656537
"Price/Earnings (TTM, GAAP)",3.64
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2565
Operating Profit Margin (TTM),0.1555
Net Profit Margin (TTM),0.1139
Annual Dividend Yield,0.0625
Dividend Change %,0.2978
"Dividend Growth Rate, 3 Years",0.2059
EPS Growth (MRQ),-0.23690000000000003
EPS Growth (TTM),0.15080000000000002
Revenue Growth (MRQ),-0.0305
Revenue Growth (TTM),0.1297
Return On Equity (TTM),0.2348
Return On Assets (TTM),0.1264
Return On Investment (TTM),0.1475
Revenue Per Employee (TTM),2723239.0
Total Debt/Total Capital (MRQ),0.3594
Change in Debt/Total Capital Quarter over Quarter,-0.0016
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2021-08-06 00:00:00
theStreet since,2022-07-07 00:00:00
ford since,2022-06-24 00:00:00
cfra since,
marketEdge opinion since,
