,QCRH,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",8.98,11.43,Valuation,0.7856517935258094
Price/Sales (TTM),2.99,3.3,Valuation,0.9060606060606061
Price/Book (MRQ),1.19,1.46,Valuation,0.815068493150685
"PEG Ratio (TTM, GAAP)",,1.15,Valuation,
Gross Profit Margin (TTM),,0.0072,Profitability,
Operating Profit Margin (TTM),0.374,0.34240000000000004,Profitability,1.092289719626168
Net Profit Margin (TTM),0.3232,0.2812,Profitability,1.1493598862019914
Annual Dividend Yield,0.0046,0.028700000000000003,Dividend,0.1602787456445993
Dividend Change %,0.0,-0.0086,Dividend,-0.0
"Dividend Growth Rate, 3 Years",0.0,0.0734,Dividend,0.0
EPS Growth (MRQ),0.9712000000000001,-0.0335,Gowth rates,-28.991044776119402
EPS Growth (TTM),0.0273,-0.09960000000000001,Gowth rates,-0.27409638554216864
Revenue Growth (MRQ),0.16219999999999998,0.5429,Gowth rates,0.29876588690366546
Revenue Growth (TTM),0.2655,0.2466,Gowth rates,1.0766423357664234
Return On Equity (TTM),0.13720000000000002,0.1135,Effectiveness,1.2088105726872247
Return On Assets (TTM),0.0138,0.0099,Effectiveness,1.3939393939393938
Return On Investment (TTM),,-0.0004,Effectiveness,
Revenue Per Employee (TTM),,7475.75,Effectiveness,
Total Debt/Total Capital (MRQ),,0.0086,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,0.0086,0.0009,Financial strength,9.555555555555555
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),,,Financial strength,
