,QCRH
% Above Low,0.1014
% Held by Institutions,0.7
52-Wk Range,['47.23 - 62.85']
Annual Dividend $,0.24
Annual Dividend %,0.0046
Ask,52.08
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,52.0
Bid Size,100.0
Day Change $,-0.08
Day Change %,-0.0015
Day High,52.12
Day Low,51.61
Dividend Pay Date,2023-01-05 00:00:00
"EPS (TTM, GAAP)",5.8
Ex-dividend,2022-12-15 00:00:00
Ex-dividend Date,12/15/22
Historical Volatility,0.27399999999999997
Last (size),100.0
Last (time),12:03p ET 11/28/22
Market Cap,877.1M
"P/E Ratio (TTM, GAAP)",8.98
Prev Close,52.1
Price,52.02
Short Interest,0.011000000000000001
Today's Open,51.8
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-24 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.08239095315024225
Growth 1yr High Est,0.06984126984126982
Growth 1yr Consensus Est,0.07611611149575603
Growth 2yr Low Est,0.02253876015721068
Growth 2yr High Est,0.08536573877820164
Growth 2yr Consensus Est,0.05395224946770616
Growth 5yr Low Est,0.2850063469274193
Growth 5yr High Est,0.2762087381328362
Growth 5yr Consensus Est,0.2806075425301277
Growth 5yr Actual/Est,0.1907776836811279
Growth 3yr Historic,0.1665106951871657
Price/Earnings (TTM),8.98002
Price/Sales (TTM),2.9877
Price/Book (MRQ),1.19355
Price/Cash Flow (TTM),8.40069
5yr Low,22.39
5yr High,62.85
5yr Avg Return,0.0513
EPS Growth 5yr,0.2338912
Revenue Growth 5yr,0.1345658
Dividend Growth 5yr,0.0844718
Short Int Current Month,180126.0
Short Int Prev Month,218628.0
Short Int Pct of Float,0.0110076
Days to Cover,2.64223
Float,16.37046
Shares Outstanding,16.88442
Institutions Holding Shares,216.0
FCF Growth 5yr,2.382958469673147
"Price/Earnings (TTM, GAAP)",8.98
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.374
Net Profit Margin (TTM),0.3232
Annual Dividend Yield,0.0046
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),0.9712000000000001
EPS Growth (TTM),0.0273
Revenue Growth (MRQ),0.16219999999999998
Revenue Growth (TTM),0.2655
Return On Equity (TTM),0.13720000000000002
Return On Assets (TTM),0.0138
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.0086
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-10-28 00:00:00
theStreet since,2020-11-03 00:00:00
ford since,2022-10-28 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
