,APA,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",4.44,9.13,Valuation,0.48630887185104055
Price/Sales (TTM),1.37,7.57,Valuation,0.1809775429326288
Price/Book (MRQ),25.04,4.65,Valuation,5.38494623655914
"PEG Ratio (TTM, GAAP)",0.18,0.01,Valuation,18.0
Gross Profit Margin (TTM),0.6976000000000001,0.35119999999999996,Profitability,1.9863325740318911
Operating Profit Margin (TTM),0.536,0.192,Profitability,2.791666666666667
Net Profit Margin (TTM),0.36950000000000005,0.0358,Profitability,10.321229050279332
Annual Dividend Yield,0.0215,0.0379,Dividend,0.567282321899736
Dividend Change %,-0.5769,0.13269999999999998,Dividend,-4.347400150715901
"Dividend Growth Rate, 3 Years",-0.4839,0.10189999999999999,Dividend,-4.748773307163886
EPS Growth (MRQ),-0.5277000000000001,2.3421000000000003,Gowth rates,-0.22531061867554758
EPS Growth (TTM),5.5992,7.2215,Gowth rates,0.7753513812919753
Revenue Growth (MRQ),-0.0525,0.7168000000000001,Gowth rates,-0.07324218749999999
Revenue Growth (TTM),0.5789,47.807,Gowth rates,0.01210910536113958
Return On Equity (TTM),,0.3993,Effectiveness,
Return On Assets (TTM),0.299,0.15810000000000002,Effectiveness,1.8912080961416822
Return On Investment (TTM),0.41130000000000005,0.2237,Effectiveness,1.838623156012517
Revenue Per Employee (TTM),4838882.0,7554984.0,Effectiveness,0.6404887157934418
Total Debt/Total Capital (MRQ),0.7809,0.3658,Financial strength,2.134773100054675
Change in Debt/Total Capital Quarter over Quarter,-0.0027,-0.002,Financial strength,1.35
Quick Ratio (MRQ),0.89,0.96,Financial strength,0.9270833333333334
Interest Coverage (MRQ),10.77,13.28,Financial strength,0.8109939759036144
