,APA
% Below High,0.1063
% Held by Institutions,0.7878000000000001
52-Wk Range,['22.94 - 51.95']
Annual Dividend $,1.0
Annual Dividend %,0.0215
Ask,46.6
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,3.7
Bid,46.24
Bid Size,100.0
Closing Price,46.43
Day Change $,-0.35
Day Change %,-0.0075
Day High,47.2
Day Low,46.1
Dividend Pay Date,2022-11-22 00:00:00
"EPS (TTM, GAAP)",10.47
Ex-dividend,2022-10-20 00:00:00
Ex-dividend Date,10/20/22
Historical Volatility,0.5970000000000001
Last (size),100.0
Last (time),1:00p ET 11/25/22
Market Cap,14.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",4.44
Prev Close,46.78
Short Interest,0.028999999999999998
Today's Open,47.2
Volume,2876251.0
Volume 10-day Avg,5680085.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,25.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.3067173637515843
Growth 2yr High Est,0.22747156605424323
Growth 2yr Consensus Est,-0.03962289884867054
Growth 5yr Low Est,-0.3067173637515843
Growth 5yr High Est,0.22747156605424323
Growth 5yr Consensus Est,-0.03962289884867054
Growth 5yr Actual/Est,-inf
Growth 3yr Historic,-inf
Price/Earnings (TTM),4.43659
Price/Sales (TTM),1.36927
Price/Book (MRQ),25.03907
Price/Cash Flow (TTM),2.84936
5yr Low,3.8
5yr High,51.95
5yr Avg Return,0.12915000000000001
EPS Growth 5yr,
Revenue Growth 5yr,0.0827013
Dividend Growth 5yr,-0.3275492
Short Int Current Month,9280523.0
Short Int Prev Month,8865095.0
Short Int Pct of Float,0.0289776
Days to Cover,1.33282
Float,320.3459
Shares Outstanding,321.5118
Institutions Holding Shares,875.0
FCF Growth 5yr,0.507131534173596
"Price/Earnings (TTM, GAAP)",4.44
"PEG Ratio (TTM, GAAP)",0.18
Gross Profit Margin (TTM),0.6976000000000001
Operating Profit Margin (TTM),0.536
Net Profit Margin (TTM),0.36950000000000005
Annual Dividend Yield,0.0215
Dividend Change %,-0.5769
"Dividend Growth Rate, 3 Years",-0.4839
EPS Growth (MRQ),-0.5277000000000001
EPS Growth (TTM),5.5992
Revenue Growth (MRQ),-0.0525
Revenue Growth (TTM),0.5789
Return On Equity (TTM),
Return On Assets (TTM),0.299
Return On Investment (TTM),0.41130000000000005
Revenue Per Employee (TTM),4838882.0
Total Debt/Total Capital (MRQ),0.7809
Change in Debt/Total Capital Quarter over Quarter,-0.0027
Quick Ratio (MRQ),0.89
Interest Coverage (MRQ),10.77
newConstructs,rating-box
researchTeam,rating-box
cfra,
ford,rating-box
marketEdge opinion,
marketEdge,rating-box
newConstructs since,2022-11-26 00:00:00
researchTeam since,2022-08-20 00:00:00
cfra since,2022-11-03 00:00:00
ford since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2021-10-20 00:00:00
