,KALV,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),,45.03,Valuation,
Price/Book (MRQ),0.77,12.61,Valuation,0.061062648691514676
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),,0.5874,Profitability,
Operating Profit Margin (TTM),,-4.7459,Profitability,
Net Profit Margin (TTM),,-4.5467,Profitability,
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),0.045,-0.0014000000000000002,Gowth rates,-32.14285714285714
EPS Growth (TTM),-0.48009999999999997,0.027200000000000002,Gowth rates,-17.650735294117645
Revenue Growth (MRQ),,1.3963999999999999,Gowth rates,
Revenue Growth (TTM),,0.9747,Gowth rates,
Return On Equity (TTM),-0.4365,0.1967,Effectiveness,-2.2191154041687846
Return On Assets (TTM),-0.4044,0.0016,Effectiveness,-252.74999999999997
Return On Investment (TTM),-0.4216,0.0219,Effectiveness,-19.251141552511417
Revenue Per Employee (TTM),0.0,1476201.0,Effectiveness,0.0
Total Debt/Total Capital (MRQ),0.0,0.4675,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0036,Financial strength,
Quick Ratio (MRQ),,2.06,Financial strength,
Interest Coverage (MRQ),-95.69,2.69,Financial strength,-35.572490706319705
