,FBNC
Price/Earnings (TTM),14.65691
Price/Sales (TTM),4.5534
Price/Book (MRQ),1.77054
Price/Cash Flow (TTM),13.12677
5yr Low,17.32
5yr High,50.92
5yr Avg Return,0.06178333333333334
EPS Growth 5yr,0.1917315
Revenue Growth 5yr,0.14333769999999998
Dividend Growth 5yr,0.1950578
Short Int Current Month,948032.0
Short Int Prev Month,950211.0
Short Int Pct of Float,0.0270355
Days to Cover,6.99551
Float,35.06625
Shares Outstanding,35.71175
Institutions Holding Shares,263.0
% Held by Institutions,0.693382
FCF Growth 5yr,0.1405517514892515
