,FBNC
% Below High,0.0039000000000000003
% Held by Institutions,0.6934
52-Wk Range,['32.90 - 49.00']
Annual Dividend $,0.88
Annual Dividend %,0.018000000000000002
Ask,49.79
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.1
Bid,33.78
Bid Size,100.0
Closing Price,48.81
Day Change $,0.45
Day Change %,0.009300000000000001
Day High,49.0
Day Low,48.6
Dividend Pay Date,2022-10-25 00:00:00
"EPS (TTM, GAAP)",3.33
Ex-dividend,2022-09-29 00:00:00
Ex-dividend Date,09/29/22
Historical Volatility,0.292
Last (size),17.0
Last (time),1:00p ET 11/25/22
Market Cap,1.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",14.66
Prev Close,48.36
Short Interest,0.027000000000000003
Today's Open,48.6
Volume,41079.0
Volume 10-day Avg,138901.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,0.6967213114754098
Growth 1yr High Est,0.541818181818182
Growth 1yr Consensus Est,0.6192697466467959
Growth 2yr Low Est,0.34352973786330876
Growth 2yr High Est,0.31336192109777017
Growth 2yr Consensus Est,0.32844582948053946
Growth 5yr Low Est,0.1141938910136733
Growth 5yr High Est,0.12152471054888508
Growth 5yr Consensus Est,0.1178593007812792
Growth 5yr Actual/Est,0.10498926978348563
Growth 3yr Historic,0.016039426523297512
Price/Earnings (TTM),14.65691
Price/Sales (TTM),4.5534
Price/Book (MRQ),1.77054
Price/Cash Flow (TTM),13.12677
5yr Low,17.32
5yr High,50.92
5yr Avg Return,0.06178333333333334
EPS Growth 5yr,0.1917315
Revenue Growth 5yr,0.14333769999999998
Dividend Growth 5yr,0.1950578
Short Int Current Month,948032.0
Short Int Prev Month,950211.0
Short Int Pct of Float,0.0270355
Days to Cover,6.99551
Float,35.06625
Shares Outstanding,35.71175
Institutions Holding Shares,263.0
FCF Growth 5yr,0.1405517514892515
"Price/Earnings (TTM, GAAP)",14.66
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.3908
Net Profit Margin (TTM),0.3109
Annual Dividend Yield,0.018000000000000002
Dividend Change %,0.0833
"Dividend Growth Rate, 3 Years",0.27090000000000003
EPS Growth (MRQ),0.0336
EPS Growth (TTM),-0.1216
Revenue Growth (MRQ),0.0975
Revenue Growth (TTM),0.3558
Return On Equity (TTM),0.12369999999999999
Return On Assets (TTM),0.0125
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.0201
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2020-11-09 00:00:00
researchTeam since,2022-10-28 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-10-28 00:00:00
cfra since,
marketEdge opinion since,
