,CVS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",43.03,29.13,Valuation,1.4771713010641951
Price/Sales (TTM),0.42,1.32,Valuation,0.3181818181818182
Price/Book (MRQ),1.88,4.31,Valuation,0.43619489559164737
"PEG Ratio (TTM, GAAP)",7.87,0.26,Valuation,30.26923076923077
Gross Profit Margin (TTM),0.3924,0.1318,Profitability,2.977238239757208
Operating Profit Margin (TTM),0.0199,0.0458,Profitability,0.4344978165938865
Net Profit Margin (TTM),0.01,0.0242,Profitability,0.4132231404958678
Annual Dividend Yield,0.0217,0.0108,Dividend,2.009259259259259
Dividend Change %,0.0,7.1517,Dividend,0.0
"Dividend Growth Rate, 3 Years",0.0,0.3483,Dividend,0.0
EPS Growth (MRQ),-2.1629,-0.1478,Gowth rates,14.633964817320706
EPS Growth (TTM),-0.5892000000000001,-1.101,Gowth rates,0.535149863760218
Revenue Growth (MRQ),0.006500000000000001,0.0931,Gowth rates,0.06981740064446831
Revenue Growth (TTM),0.1058,0.1191,Gowth rates,0.8883291351805206
Return On Equity (TTM),0.0435,7.2022,Effectiveness,0.006039821165754907
Return On Assets (TTM),0.013600000000000001,0.0403,Effectiveness,0.337468982630273
Return On Investment (TTM),0.0193,0.016,Effectiveness,1.20625
Revenue Per Employee (TTM),1050750.0,1375304.0,Effectiveness,0.7640129018747855
Total Debt/Total Capital (MRQ),0.42369999999999997,0.4855,Financial strength,0.8727085478887744
Change in Debt/Total Capital Quarter over Quarter,-0.0009,0.0015,Financial strength,-0.6
Quick Ratio (MRQ),0.69,0.31,Financial strength,2.225806451612903
Interest Coverage (MRQ),6.66,9.55,Financial strength,0.6973821989528796
