,CVS
% Below High,0.0898
% Held by Institutions,0.7702
52-Wk Range,['86.28 - 111.25']
Annual Dividend $,2.2
Annual Dividend %,0.0217
Ask,101.4
Ask Size,2200.0
B/A Ratio,0.045454545454545456
B/A Size,100x2200
Beta,0.7
Bid,101.05
Bid Size,100.0
Closing Price,101.26
Day Change $,1.2
Day Change %,0.012
Day High,101.55
Day Low,100.19
Dividend Pay Date,2022-11-01 00:00:00
"EPS (TTM, GAAP)",2.35
Ex-dividend,2022-10-20 00:00:00
Ex-dividend Date,10/20/22
Historical Volatility,0.27
Last (size),4.0
Last (time),5:00p ET 11/25/22
Market Cap,133.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",43.03
Prev Close,100.06
Short Interest,0.0101
Today's Open,100.61
Volume,2464847.0
Volume 10-day Avg,5755433.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,29.0
Growth 1yr Low Est,0.08050314465408803
Growth 1yr High Est,0.033452807646356275
Growth 1yr Consensus Est,0.056977976150222154
Growth 2yr Low Est,0.04723643845044334
Growth 2yr High Est,0.03811368706017226
Growth 2yr Consensus Est,0.0426750627553078
Growth 5yr Low Est,0.056506860434758444
Growth 5yr High Est,0.06198173849778987
Growth 5yr Consensus Est,0.05924429946627416
Growth 5yr Actual/Est,0.05833855074130917
Growth 3yr Historic,0.044830508474576314
Price/Earnings (TTM),43.03022
Price/Sales (TTM),0.42209
Price/Book (MRQ),1.88386
Price/Cash Flow (TTM),17.80202
5yr Low,51.72
5yr High,111.25
5yr Avg Return,0.07838333333333333
EPS Growth 5yr,0.0394667
Revenue Growth 5yr,0.10470779999999999
Dividend Growth 5yr,0.0330378
Short Int Current Month,13248308.0
Short Int Prev Month,13287392.0
Short Int Pct of Float,0.010128999999999999
Days to Cover,1.74115
Float,1309.006
Shares Outstanding,1313.967
Institutions Holding Shares,2862.0
FCF Growth 5yr,0.7771551278573027
"Price/Earnings (TTM, GAAP)",43.03
"PEG Ratio (TTM, GAAP)",7.87
Gross Profit Margin (TTM),0.3924
Operating Profit Margin (TTM),0.0199
Net Profit Margin (TTM),0.01
Annual Dividend Yield,0.0217
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),-2.1629
EPS Growth (TTM),-0.5892000000000001
Revenue Growth (MRQ),0.006500000000000001
Revenue Growth (TTM),0.1058
Return On Equity (TTM),0.0435
Return On Assets (TTM),0.013600000000000001
Return On Investment (TTM),0.0193
Revenue Per Employee (TTM),1050750.0
Total Debt/Total Capital (MRQ),0.42369999999999997
Change in Debt/Total Capital Quarter over Quarter,-0.0009
Quick Ratio (MRQ),0.69
Interest Coverage (MRQ),6.66
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-11-03 00:00:00
cfra since,2021-05-04 00:00:00
ford since,2022-04-08 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-11-03 00:00:00
