,2020,2021,2022,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Report
high,38.7,76.96,34.75,,,,,
low,22.42,21.61,13.75,,,,,
change,0.1131,0.1839,-0.5651,,,,,
Date,,,,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,89.0,83.0,74.0,52.0,Balance Sheet
Short Term Investments,,,,47.0,77.0,100.0,131.0,Balance Sheet
Cash and Short Term Invs,,,,137.0,160.0,175.0,183.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,289.0,,,Balance Sheet
Prov. for Doubtful Accts,,,,,-2.0,,,Balance Sheet
"Total Receivables, Net",,,,228.0,287.0,218.0,264.0,Balance Sheet
Prepaid Expenses,,,,13.0,14.0,12.0,13.0,Balance Sheet
Total Current Assets,,,,378.0,461.0,405.0,460.0,Balance Sheet
Buildings,,,,2.0,2.0,3.0,3.0,Balance Sheet
Machinery/Equipment,,,,123.0,123.0,127.0,151.0,Balance Sheet
Other Prop./Plant/Equip.,,,,1.0,23.0,26.0,29.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,126.0,149.0,156.0,182.0,Balance Sheet
Accumulated Depreciation,,,,-74.0,-77.0,-84.0,-90.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,52.0,72.0,72.0,92.0,Balance Sheet
"Goodwill, Net",,,,6.0,6.0,6.0,6.0,Balance Sheet
Other Long Term Assets,,,,2.0,11.0,13.0,9.0,Balance Sheet
Total Assets,,,,439.0,550.0,498.0,570.0,Balance Sheet
Accounts Payable,,,,186.0,235.0,177.0,19.0,Balance Sheet
Accrued Expenses,,,,18.0,23.0,15.0,18.0,Balance Sheet
Notes Payable/ST Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Curr. Lblts, Total",,,,10.0,9.0,9.0,218.0,Balance Sheet
Total Current Liabilities,,,,213.0,267.0,201.0,255.0,Balance Sheet
Total Long Term Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Deferred Income Tax,,,,3.0,6.0,6.0,6.0,Balance Sheet
"Other Liabilities, Total",,,,2.0,20.0,23.0,25.0,Balance Sheet
Total Liabilities,,,,218.0,293.0,230.0,286.0,Balance Sheet
Redeemable Preferred Stock,,,,0.0,,0.0,0.0,Balance Sheet
Common Stock,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,161.0,169.0,175.0,184.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,71.0,99.0,104.0,112.0,Balance Sheet
Treasury Stock - Common,,,,-11.0,-11.0,-11.0,-11.0,Balance Sheet
Unrealized Gain (Loss),,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Equity,,,,221.0,257.0,268.0,284.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,439.0,550.0,498.0,570.0,Balance Sheet
Shr Outs.-Com. Primary Iss.,,,,27.0,41.0,41.0,43.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 2,,,,23.0,11.0,11.0,10.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,51.0,52.0,52.0,52.0,Balance Sheet
Trsy. Shrs-Comm. Iss. 2,,,,3.0,3.0,3.0,3.0,Balance Sheet
Date,,,,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,Income Statement
Total Revenue,,,,58086.0,75556.0,54552.0,63032.0,Income Statement
"Cost of Revenue, Total",,,,16020.0,16905.0,17992.0,18974.0,Income Statement
Selling/Gen/Admin Expense,,,,20984.0,23745.0,23225.0,25032.0,Income Statement
Labor & Related Expense,,,,2895.0,2793.0,3981.0,4157.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,23879.0,26538.0,27206.0,29189.0,Income Statement
Research & Development,,,,4139.0,4147.0,4773.0,5075.0,Income Statement
Total Operating Expense,,,,44038.0,47590.0,49971.0,53238.0,Income Statement
Total Operating Income,,,,14048.0,27966.0,4581.0,9794.0,Income Statement
"Inter Income, Non-Operating",,,,79.0,92.0,,,Income Statement
"Invest Income, Non-Operat",,,,-300.0,6333.0,,,Income Statement
"Inter/Invest Inc, Non-Oper",,,,-221.0,6425.0,,,Income Statement
OtherNon-OperatInc (Expnse),,,,498.0,-648.0,1601.0,-48.0,Income Statement
"Other, Net",,,,498.0,-648.0,1601.0,-48.0,Income Statement
Income Before Tax,,,,14325.0,33743.0,6182.0,9746.0,Income Statement
Income Tax - Total,,,,799.0,5504.0,1403.0,1927.0,Income Statement
Income After Tax,,,,13526.0,28239.0,4779.0,7819.0,Income Statement
Net Inc Before Extra Items,,,,13526.0,28239.0,4779.0,7819.0,Income Statement
Total Net Income,,,,13526.0,28239.0,4779.0,7819.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,13526.0,28239.0,4779.0,7819.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,13526.0,28239.0,4779.0,7819.0,Income Statement
Basic/Primary Weighted Average Shares,,,,50560.0,51474.0,51911.0,52155.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,0.27,0.55,0.09,0.15,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,0.27,0.55,0.09,0.15,Income Statement
Diluted Weighted Average Shares,,,,56499.0,56787.0,56888.0,56847.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,0.24,0.5,0.08,0.14,Income Statement
Diluted EPS Incl. Extra. Items,,,,0.24,0.5,0.08,0.14,Income Statement
Div/Share-ComStockPrimIssue,,,,0.0,,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,,0.0,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,,,5.0,5.0,Income Statement
"Depreciat/Amort, Suppl",,,,4404.0,5000.0,5043.0,4943.0,Income Statement
Normalzd Income Before Tax,,,,14325.0,33743.0,6182.0,9746.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,799.0,5504.0,1403.0,1927.0,Income Statement
Normalized Income After Tax,,,,13526.0,28239.0,4779.0,7819.0,Income Statement
Normalzd Inc Avail to Common,,,,13526.0,28239.0,4779.0,7819.0,Income Statement
Basic Normalized EPS,,,,0.27,0.55,0.09,0.15,Income Statement
Diluted Normalized EPS,,,,0.24,0.5,0.08,0.14,Income Statement
Date,,,,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,Cash Flow
Net Income,,,,28365.0,56604.0,4779.0,12598.0,Cash Flow
Depreciation/Depletion,,,,15992.0,23073.0,7183.0,14505.0,Cash Flow
Deferred Taxes,,,,1404.0,4753.0,-1645.0,-2396.0,Cash Flow
Unusual Items,,,,,-5433.0,-1373.0,-458.0,Cash Flow
Other Non-Cash Items,,,,10460.0,16149.0,6485.0,13609.0,Cash Flow
Non-Cash Items,,,,10460.0,10716.0,5112.0,13151.0,Cash Flow
"Cash Taxes Pd, Supplemental",,,,4445.0,6786.0,-323.0,-1842.0,Cash Flow
Accounts Receivable,,,,-8876.0,-67405.0,68557.0,22942.0,Cash Flow
