,PUBM
% Above Low,0.09789999999999999
% Held by Institutions,0.5581
52-Wk Range,['13.75 - 43.65']
Annual Dividend $,
Annual Dividend %,
Ask,15.11
Ask Size,300.0
B/A Ratio,1.0
B/A Size,300x300
Beta,
Bid,15.07
Bid Size,300.0
Day Change $,-0.36
Day Change %,-0.0233
Day High,15.36
Day Low,14.95
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.96
Ex-dividend Date,No dividend
Historical Volatility,0.761
Last (size),100.0
Last (time),11:52a ET 11/28/22
Market Cap,793.2M
"P/E Ratio (TTM, GAAP)",16.12
Prev Close,15.45
Price,15.09
Short Interest,0.0602
Today's Open,15.19
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.7916666666666666
Growth 2yr High Est,0.39655172413793127
Growth 2yr Consensus Est,-0.19755747126436768
Growth 5yr Low Est,-0.7916666666666666
Growth 5yr High Est,0.39655172413793127
Growth 5yr Consensus Est,-0.19755747126436768
Growth 5yr Actual/Est,0.16478797638217926
Growth 3yr Historic,0.3333333333333333
Price/Earnings (TTM),16.12348
Price/Sales (TTM),3.23273
Price/Book (MRQ),2.84812
Price/Cash Flow (TTM),9.86178
5yr Low,13.75
5yr High,76.96
5yr Avg Return,-0.08936666666666665
Short Int Current Month,2426546.0
Short Int Prev Month,2501257.0
Short Int Pct of Float,0.060208500000000005
Days to Cover,3.27156
Float,9.23905
Shares Outstanding,52.56614
Institutions Holding Shares,214.0
FCF Growth 5yr,0.09851186409506167
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",16.12
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7218000000000001
Operating Profit Margin (TTM),0.2245
Net Profit Margin (TTM),0.2164
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.6372
EPS Growth (TTM),
Revenue Growth (MRQ),0.15539999999999998
Revenue Growth (TTM),
Return On Equity (TTM),0.2237
Return On Assets (TTM),0.114
Return On Investment (TTM),0.2082
Revenue Per Employee (TTM),352351.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-07-29 00:00:00
theStreet since,2022-03-02 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-07-29 00:00:00
cfra since,
marketEdge opinion since,
