,NEM
% Above Low,0.2243
% Held by Institutions,0.7914
52-Wk Range,['37.45 - 86.37']
Annual Dividend $,2.2
Annual Dividend %,0.048
Ask,46.24
Ask Size,100.0
B/A Ratio,26.0
B/A Size,2600x100
Beta,0.3
Bid,46.1
Bid Size,2600.0
Change Since Close,0.25| |(0.55%)
Closing Price,45.85
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-29 00:00:00
"EPS (TTM, GAAP)",1.22
Ex-dividend,2022-12-07 00:00:00
Ex-dividend Date,12/07/22
Historical Volatility,0.386
Last (size),52.0
Last (time),5:00p ET 11/25/22
Last Trade,46.1
Market Cap,36.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",37.63
Prev Close,45.85
Short Interest,0.0187
Today's Open,
Volume,5230.0
Volume 10-day Avg,6511498.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,22.0
Growth 1yr Low Est,-0.3735408560311283
Growth 1yr High Est,-0.31692307692307686
Growth 1yr Consensus Est,-0.3452319664771026
Growth 2yr Low Est,-0.32031080068637163
Growth 2yr High Est,-0.027830907830907914
Growth 2yr Consensus Est,-0.17407085425863977
Growth 5yr Low Est,0.12273361733285015
Growth 5yr High Est,0.2167551884783523
Growth 5yr Consensus Est,0.16974440290560122
Growth 5yr Actual/Est,0.20061774386464787
Growth 3yr Historic,0.2819833675096833
Price/Earnings (TTM),37.63163
Price/Sales (TTM),3.00644
Price/Book (MRQ),1.71351
Price/Cash Flow (TTM),14.94576
5yr Low,29.06
5yr High,86.37
5yr Avg Return,0.054200000000000005
EPS Growth 5yr,
Revenue Growth 5yr,0.1284262
Dividend Growth 5yr,0.7746084000000001
Short Int Current Month,14798569.0
Short Int Prev Month,14874962.0
Short Int Pct of Float,0.0186772
Days to Cover,1.53576
Float,792.4149
Shares Outstanding,793.7387
Institutions Holding Shares,1580.0
FCF Growth 5yr,0.3550250133165973
"Price/Earnings (TTM, GAAP)",37.63
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4855
Operating Profit Margin (TTM),0.0824
Net Profit Margin (TTM),0.015
Annual Dividend Yield,0.048
Dividend Change %,1.1154000000000002
"Dividend Growth Rate, 3 Years",0.5779
EPS Growth (MRQ),-0.42479999999999996
EPS Growth (TTM),-0.5043
Revenue Growth (MRQ),-0.1387
Revenue Growth (TTM),-0.0088
Return On Equity (TTM),0.0441
Return On Assets (TTM),0.0046
Return On Investment (TTM),0.005
Revenue Per Employee (TTM),840625.0
Total Debt/Total Capital (MRQ),0.22260000000000002
Change in Debt/Total Capital Quarter over Quarter,0.0002
Quick Ratio (MRQ),1.99
Interest Coverage (MRQ),91.75
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-08-20 00:00:00
theStreet since,2022-09-23 00:00:00
cfra since,2021-10-28 00:00:00
ford since,2022-02-25 00:00:00
marketEdge opinion since,
