,ESTE
Price/Earnings (TTM),4.46881
Price/Sales (TTM),1.62517
Price/Book (MRQ),1.44409
Price/Cash Flow (TTM),2.89325
5yr Low,1.44
5yr High,22.25
5yr Avg Return,0.21156666666666665
EPS Growth 5yr,
Revenue Growth 5yr,0.5826015999999999
Dividend Growth 5yr,
Short Int Current Month,11849222.0
Short Int Prev Month,13102991.0
Short Int Pct of Float,0.1439768
Days to Cover,6.3315
Float,94.62779
Shares Outstanding,139.6786
Institutions Holding Shares,234.0
% Held by Institutions,0.650159
FCF Growth 5yr,-0.44747875926510555
