,ESTE
% Above Low,0.6620999999999999
% Held by Institutions,0.6502
52-Wk Range,['9.41 - 22.25']
Annual Dividend $,
Annual Dividend %,
Ask,17.25
Ask Size,100.0
B/A Ratio,24.0
B/A Size,2400x100
Beta,2.1
Bid,15.64
Bid Size,2400.0
Closing Price,15.64
Day Change $,-0.25
Day Change %,-0.015700000000000002
Day High,16.19
Day Low,15.62
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.5
Ex-dividend Date,No dividend
Historical Volatility,0.731
Last (size),10.0
Last (time),5:00p ET 11/25/22
Market Cap,1.6B
"P/E Ratio (TTM, GAAP)",4.47
Prev Close,15.89
Short Interest,0.14400000000000002
Today's Open,16.01
Volume,463600.0
Volume 10-day Avg,1437324.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-08 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.10300429184549365
Growth 2yr High Est,0.2157534246575341
Growth 2yr Consensus Est,0.05637456640602023
Growth 5yr Low Est,-0.10300429184549365
Growth 5yr High Est,0.2157534246575341
Growth 5yr Consensus Est,0.05637456640602023
Growth 5yr Actual/Est,1.1096528453919758
Growth 3yr Historic,0.30434782608695654
Price/Earnings (TTM),4.46881
Price/Sales (TTM),1.62517
Price/Book (MRQ),1.44409
Price/Cash Flow (TTM),2.89325
5yr Low,1.44
5yr High,22.25
5yr Avg Return,0.21156666666666665
EPS Growth 5yr,
Revenue Growth 5yr,0.5826015999999999
Dividend Growth 5yr,
Short Int Current Month,11849222.0
Short Int Prev Month,13102991.0
Short Int Pct of Float,0.1439768
Days to Cover,6.3315
Float,94.62779
Shares Outstanding,139.6786
Institutions Holding Shares,234.0
FCF Growth 5yr,-0.44747875926510555
"Price/Earnings (TTM, GAAP)",4.47
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8077
Operating Profit Margin (TTM),0.5982999999999999
Net Profit Margin (TTM),0.3976
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.3346
EPS Growth (TTM),9.3345
Revenue Growth (MRQ),0.1247
Revenue Growth (TTM),3.3042000000000002
Return On Equity (TTM),0.3561
Return On Assets (TTM),0.201
Return On Investment (TTM),0.2902
Revenue Per Employee (TTM),16595210.0
Total Debt/Total Capital (MRQ),0.3511
Change in Debt/Total Capital Quarter over Quarter,0.0055000000000000005
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
theStreet since,2022-08-11 00:00:00
researchTeam since,2022-10-21 00:00:00
ford since,2022-10-21 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
