,PGR
% Below High,0.011000000000000001
% Held by Institutions,0.8429000000000001
52-Wk Range,['92.44 - 132.93']
Annual Dividend $,0.4
Annual Dividend %,0.003
Ask,131.53
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.5
Bid,131.43
Bid Size,100.0
Day Change $,-0.105
Day Change %,-0.0008
Day High,132.49
Day Low,130.12
Dividend Pay Date,2022-10-14 00:00:00
"EPS (TTM, GAAP)",1.41
Ex-dividend,2022-10-06 00:00:00
Ex-dividend Date,10/06/22
Historical Volatility,0.263
Last (size),51.0
Last (time),10:44a ET 11/28/22
Market Cap,76.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",93.15
Prev Close,131.57
Price,131.47
Short Interest,0.006
Today's Open,131.29
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,0.08695652173913038
Growth 1yr High Est,-0.12426035502958577
Growth 1yr Consensus Est,-0.018651916645227695
Growth 2yr Low Est,0.034144927536231884
Growth 2yr High Est,0.3162482008635854
Growth 2yr Consensus Est,0.17519656419990864
Growth 5yr Low Est,-0.01742535468639539
Growth 5yr High Est,0.20132047298148045
Growth 5yr Consensus Est,0.09194755914754253
Growth 5yr Actual/Est,0.15600256470302132
Growth 3yr Historic,-0.025372208436724553
Price/Earnings (TTM),93.14822
Price/Sales (TTM),1.5837
Price/Book (MRQ),5.39
Price/Cash Flow (TTM),65.57765
5yr Low,50.79
5yr High,132.93
5yr Avg Return,0.17108333333333334
EPS Growth 5yr,0.2629013
Revenue Growth 5yr,0.1527978
Dividend Growth 5yr,-0.10089980000000001
Short Int Current Month,3521983.0
Short Int Prev Month,3969799.0
Short Int Pct of Float,0.0060441
Days to Cover,1.29495
Float,582.9624
Shares Outstanding,585.1
Institutions Holding Shares,1521.0
FCF Growth 5yr,0.12668228083017496
"Price/Earnings (TTM, GAAP)",93.15
"PEG Ratio (TTM, GAAP)",3.4
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.027400000000000004
Net Profit Margin (TTM),0.0176
Annual Dividend Yield,0.003
Dividend Change %,-0.9184000000000001
"Dividend Growth Rate, 3 Years",-0.4581
EPS Growth (MRQ),1.2126000000000001
EPS Growth (TTM),-0.7951
Revenue Growth (MRQ),0.1095
Revenue Growth (TTM),0.0431
Return On Equity (TTM),0.0514
Return On Assets (TTM),0.0116
Return On Investment (TTM),
Revenue Per Employee (TTM),992012.0
Total Debt/Total Capital (MRQ),0.3018
Change in Debt/Total Capital Quarter over Quarter,0.0025
Quick Ratio (MRQ),
Interest Coverage (MRQ),18.65
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2021-12-31 00:00:00
theStreet since,2022-11-07 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2021-07-16 00:00:00
ford since,2022-10-14 00:00:00
marketEdge opinion since,
