,PGR,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",93.15,19.61,Valuation,4.750127485976543
Price/Sales (TTM),1.58,2.33,Valuation,0.6781115879828327
Price/Book (MRQ),5.39,3.82,Valuation,1.4109947643979057
"PEG Ratio (TTM, GAAP)",3.4,37.63,Valuation,0.09035344140313578
Gross Profit Margin (TTM),,0.0226,Profitability,
Operating Profit Margin (TTM),0.027400000000000004,0.1298,Profitability,0.21109399075500773
Net Profit Margin (TTM),0.0176,0.10460000000000001,Profitability,0.16826003824091776
Annual Dividend Yield,0.003,0.0168,Dividend,0.17857142857142858
Dividend Change %,-0.9184000000000001,-0.0075,Dividend,122.45333333333335
"Dividend Growth Rate, 3 Years",-0.4581,0.0225,Dividend,-20.36
EPS Growth (MRQ),1.2126000000000001,-0.0779,Gowth rates,-15.566110397946087
EPS Growth (TTM),-0.7951,-0.005200000000000001,Gowth rates,152.90384615384613
Revenue Growth (MRQ),0.1095,0.0897,Gowth rates,1.2207357859531773
Revenue Growth (TTM),0.0431,0.042800000000000005,Gowth rates,1.0070093457943925
Return On Equity (TTM),0.0514,0.3775,Effectiveness,0.136158940397351
Return On Assets (TTM),0.0116,0.031200000000000002,Effectiveness,0.37179487179487175
Return On Investment (TTM),,0.035,Effectiveness,
Revenue Per Employee (TTM),992012.0,1261907.0,Effectiveness,0.7861213227282201
Total Debt/Total Capital (MRQ),0.3018,0.4026,Financial strength,0.7496274217585693
Change in Debt/Total Capital Quarter over Quarter,0.0025,0.002,Financial strength,1.25
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),18.65,10.79,Financial strength,1.7284522706209453
