,LOCO
% Above Low,0.31170000000000003
% Held by Institutions,0.9197
52-Wk Range,['8.15 - 14.79']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.3
Bid,
Bid Size,
Closing Price,10.69
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.56
Ex-dividend Date,No dividend
Historical Volatility,0.435
Last (size),2.0
Last (time),1:00p ET 11/25/22
Market Cap,396.1M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",19.07
Prev Close,10.69
Short Interest,0.09179999999999999
Today's Open,
Volume,86456.0
Volume 10-day Avg,169222.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-09 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-0.273972602739726
Growth 1yr High Est,-0.2784810126582279
Growth 1yr Consensus Est,-0.27622680769897695
Growth 2yr Low Est,0.013957094856552055
Growth 2yr High Est,0.08882966910948259
Growth 2yr Consensus Est,0.05139338198301732
Growth 5yr Low Est,0.010450769650498237
Growth 5yr High Est,0.05774816788807466
Growth 5yr Consensus Est,0.03409946876928645
Growth 5yr Actual/Est,0.037801221766739
Growth 3yr Historic,0.038846153846153864
Price/Earnings (TTM),19.06817
Price/Sales (TTM),0.85542
Price/Book (MRQ),1.20209
Price/Cash Flow (TTM),11.37307
5yr Low,6.15
5yr High,21.96
5yr Avg Return,0.03620000000000001
EPS Growth 5yr,0.1120042
Revenue Growth 5yr,0.0363245
Dividend Growth 5yr,
Short Int Current Month,1801909.0
Short Int Prev Month,1704989.0
Short Int Pct of Float,0.0918072
Days to Cover,7.17475
Float,19.6955
Shares Outstanding,37.04918
Institutions Holding Shares,168.0
FCF Growth 5yr,-0.2308765926581562
"Price/Earnings (TTM, GAAP)",19.07
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.47250000000000003
Operating Profit Margin (TTM),0.06269999999999999
Net Profit Margin (TTM),0.0442
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.2992
EPS Growth (TTM),-0.2805
Revenue Growth (MRQ),-0.034100000000000005
Revenue Growth (TTM),0.0159
Return On Equity (TTM),0.0645
Return On Assets (TTM),0.0339
Return On Investment (TTM),0.0383
Revenue Per Employee (TTM),100085.0
Total Debt/Total Capital (MRQ),0.062000000000000006
Change in Debt/Total Capital Quarter over Quarter,-0.0048
Quick Ratio (MRQ),0.54
Interest Coverage (MRQ),71.53
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-26 00:00:00
researchTeam since,2021-06-04 00:00:00
theStreet since,2021-11-30 00:00:00
ford since,2022-03-18 00:00:00
cfra since,
marketEdge opinion since,
