,WSO
Price/Earnings (TTM),20.08481
Price/Sales (TTM),1.51567
Price/Book (MRQ),5.65668
Price/Cash Flow (TTM),16.22912
5yr Low,131.88
5yr High,318.98
5yr Avg Return,0.10044999999999998
EPS Growth 5yr,0.1590818
Revenue Growth 5yr,0.08272370000000001
Dividend Growth 5yr,0.16195009999999999
Short Int Current Month,3239760.0
Short Int Prev Month,2853442.0
Short Int Pct of Float,0.09812480000000001
Days to Cover,10.10395
Float,28.58189
Shares Outstanding,39.04847
Institutions Holding Shares,653.0
% Held by Institutions,0.964507
FCF Growth 5yr,0.7729258395925062
