,WSO
% Below High,0.1537
% Held by Institutions,0.9645
52-Wk Range,['220.68 - 318.98']
Annual Dividend $,8.8
Annual Dividend %,0.0316
Ask,321.88
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,0.9
Bid,211.07
Bid Size,200.0
Closing Price,269.96
Day Change $,-8.78
Day Change %,-0.0315
Day High,277.65
Day Low,268.55
Dividend Pay Date,2022-10-31 00:00:00
"EPS (TTM, GAAP)",13.88
Ex-dividend,2022-10-14 00:00:00
Ex-dividend Date,10/14/22
Historical Volatility,0.33299999999999996
Last (size),155.0
Last (time),7:00p ET 11/28/22
Market Cap,10.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",20.08
Prev Close,278.74
Short Interest,0.0981
Today's Open,277.53
Volume,165730.0
Volume 10-day Avg,231921.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,0.33495145631067946
Growth 1yr High Est,0.3280669144981412
Growth 1yr Consensus Est,0.3315091854044103
Growth 2yr Low Est,0.06893027360988513
Growth 2yr High Est,0.18012862869763602
Growth 2yr Consensus Est,0.12452945115376057
Growth 5yr Low Est,0.18010394743199454
Growth 5yr High Est,0.23839286954976996
Growth 5yr Consensus Est,0.20924840849088225
Growth 5yr Actual/Est,0.21701765893455519
Growth 3yr Historic,0.15406616920882255
Price/Earnings (TTM),20.08481
Price/Sales (TTM),1.51567
Price/Book (MRQ),5.65668
Price/Cash Flow (TTM),16.22912
5yr Low,131.88
5yr High,318.98
5yr Avg Return,0.10044999999999998
EPS Growth 5yr,0.1590818
Revenue Growth 5yr,0.08272370000000001
Dividend Growth 5yr,0.16195009999999999
Short Int Current Month,3239760.0
Short Int Prev Month,2853442.0
Short Int Pct of Float,0.09812480000000001
Days to Cover,10.10395
Float,28.58189
Shares Outstanding,39.04847
Institutions Holding Shares,653.0
FCF Growth 5yr,0.7729258395925062
"Price/Earnings (TTM, GAAP)",20.08
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2788
Operating Profit Margin (TTM),0.1135
Net Profit Margin (TTM),0.0891
Annual Dividend Yield,0.0316
Dividend Change %,0.1011
"Dividend Growth Rate, 3 Years",0.1084
EPS Growth (MRQ),-0.1822
EPS Growth (TTM),0.39630000000000004
Revenue Growth (MRQ),-0.045899999999999996
Revenue Growth (TTM),0.2164
Return On Equity (TTM),0.2775
Return On Assets (TTM),0.1924
Return On Investment (TTM),0.3091
Revenue Per Employee (TTM),1051823.0
Total Debt/Total Capital (MRQ),0.0449
Change in Debt/Total Capital Quarter over Quarter,0.0003
Quick Ratio (MRQ),1.09
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2010-07-23 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2020-04-25 00:00:00
ford since,2022-07-29 00:00:00
marketEdge opinion since,
