,WSO,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",20.08,17.46,Valuation,1.1500572737686139
Price/Sales (TTM),1.52,2.11,Valuation,0.7203791469194313
Price/Book (MRQ),5.66,6.17,Valuation,0.9173419773095625
"PEG Ratio (TTM, GAAP)",,0.31,Valuation,
Gross Profit Margin (TTM),0.2788,0.42710000000000004,Profitability,0.652774525872161
Operating Profit Margin (TTM),0.1135,0.14730000000000001,Profitability,0.7705363204344874
Net Profit Margin (TTM),0.0891,0.0835,Profitability,1.067065868263473
Annual Dividend Yield,0.0316,0.0125,Dividend,2.528
Dividend Change %,0.1011,0.053099999999999994,Dividend,1.9039548022598871
"Dividend Growth Rate, 3 Years",0.1084,0.0517,Dividend,2.096711798839458
EPS Growth (MRQ),-0.1822,0.4814,Gowth rates,-0.37847943498130454
EPS Growth (TTM),0.39630000000000004,0.5656,Gowth rates,0.7006718528995758
Revenue Growth (MRQ),-0.045899999999999996,0.1985,Gowth rates,-0.2312342569269521
Revenue Growth (TTM),0.2164,0.2242,Gowth rates,0.9652096342551293
Return On Equity (TTM),0.2775,0.3129,Effectiveness,0.8868648130393098
Return On Assets (TTM),0.1924,0.1319,Effectiveness,1.4586808188021227
Return On Investment (TTM),0.3091,0.17420000000000002,Effectiveness,1.774397244546498
Revenue Per Employee (TTM),1051823.0,1897425.0,Effectiveness,0.5543423323715034
Total Debt/Total Capital (MRQ),0.0449,0.4449,Financial strength,0.10092155540570914
Change in Debt/Total Capital Quarter over Quarter,0.0003,0.0005,Financial strength,0.6
Quick Ratio (MRQ),1.09,1.09,Financial strength,1.0
Interest Coverage (MRQ),,26.1,Financial strength,
