,YUM
% Below High,0.0958
% Held by Institutions,0.7829999999999999
52-Wk Range,['103.97 - 139.85']
Annual Dividend $,2.28
Annual Dividend %,0.018000000000000002
Ask,128.88
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,124.16
Bid Size,100.0
Closing Price,126.45
Day Change $,-0.08
Day Change %,-0.0006
Day High,127.07
Day Low,126.05
Dividend Pay Date,2022-12-09 00:00:00
"EPS (TTM, GAAP)",4.39
Ex-dividend,2022-11-23 00:00:00
Ex-dividend Date,11/23/22
Historical Volatility,0.244
Last (size),1.0
Last (time),7:00p ET 11/28/22
Market Cap,35.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",28.82
Prev Close,126.53
Short Interest,0.009300000000000001
Today's Open,126.28
Volume,1514916.0
Volume 10-day Avg,1768800.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,27.0
Growth 1yr Low Est,-0.0022988505747125743
Growth 1yr High Est,-0.03389830508474578
Growth 1yr Consensus Est,-0.01809857782972918
Growth 2yr Low Est,0.06221463001218286
Growth 2yr High Est,0.0740596193874517
Growth 2yr Consensus Est,0.06813712469981728
Growth 5yr Low Est,0.09658727698930064
Growth 5yr High Est,0.1057354834525911
Growth 5yr Consensus Est,0.10116138022094587
Growth 5yr Actual/Est,0.09889694300453791
Growth 3yr Historic,0.0629406271885456
Price/Earnings (TTM),28.82403
Price/Sales (TTM),5.30939
Price/Book (MRQ),
Price/Cash Flow (TTM),24.83761
5yr Low,54.95
5yr High,139.85
5yr Avg Return,0.08041666666666668
EPS Growth 5yr,0.15429589999999999
Revenue Growth 5yr,0.0070735
Dividend Growth 5yr,0.0113783
Short Int Current Month,2608003.0
Short Int Prev Month,2551899.0
Short Int Pct of Float,0.0092707
Days to Cover,1.25017
Float,281.387
Shares Outstanding,281.6879
Institutions Holding Shares,1385.0
FCF Growth 5yr,0.3598416267314797
"Price/Earnings (TTM, GAAP)",28.81
"PEG Ratio (TTM, GAAP)",2.96
Gross Profit Margin (TTM),0.4819
Operating Profit Margin (TTM),0.3145
Net Profit Margin (TTM),0.1913
Annual Dividend Yield,0.018000000000000002
Dividend Change %,0.0638
"Dividend Growth Rate, 3 Years",0.11570000000000001
EPS Growth (MRQ),0.4828
EPS Growth (TTM),-0.1533
Revenue Growth (MRQ),0.0024
Revenue Growth (TTM),0.0429
Return On Equity (TTM),
Return On Assets (TTM),0.21050000000000002
Return On Investment (TTM),0.2675
Revenue Per Employee (TTM),186472.0
Total Debt/Total Capital (MRQ),3.8034
Change in Debt/Total Capital Quarter over Quarter,0.0014000000000000002
Quick Ratio (MRQ),
Interest Coverage (MRQ),5.29
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-06-10 00:00:00
theStreet since,2021-07-30 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-11-03 00:00:00
ford since,2022-06-10 00:00:00
marketEdge opinion since,
