,YUM,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",28.81,114.03,Valuation,0.25265281066386036
Price/Sales (TTM),5.31,5.62,Valuation,0.9448398576512455
Price/Book (MRQ),,8.49,Valuation,
"PEG Ratio (TTM, GAAP)",2.96,0.53,Valuation,5.584905660377358
Gross Profit Margin (TTM),0.4819,0.4058,Profitability,1.1875308033514047
Operating Profit Margin (TTM),0.3145,0.1648,Profitability,1.908373786407767
Net Profit Margin (TTM),0.1913,0.0801,Profitability,2.3882646691635454
Annual Dividend Yield,0.018000000000000002,0.011200000000000002,Dividend,1.6071428571428572
Dividend Change %,0.0638,0.056100000000000004,Dividend,1.137254901960784
"Dividend Growth Rate, 3 Years",0.11570000000000001,0.031000000000000003,Dividend,3.732258064516129
EPS Growth (MRQ),0.4828,0.3321,Gowth rates,1.4537789822342668
EPS Growth (TTM),-0.1533,2.1422,Gowth rates,-0.07156194566333676
Revenue Growth (MRQ),0.0024,0.38689999999999997,Gowth rates,0.0062031532695787026
Revenue Growth (TTM),0.0429,0.7726000000000001,Gowth rates,0.05552679264820087
Return On Equity (TTM),,0.19090000000000001,Effectiveness,
Return On Assets (TTM),0.21050000000000002,0.0758,Effectiveness,2.7770448548812667
Return On Investment (TTM),0.2675,0.1005,Effectiveness,2.6616915422885574
Revenue Per Employee (TTM),186472.0,285753.0,Effectiveness,0.6525635776352304
Total Debt/Total Capital (MRQ),3.8034,1.1601000000000001,Financial strength,3.2785104732350656
Change in Debt/Total Capital Quarter over Quarter,0.0014000000000000002,0.002,Financial strength,0.7000000000000001
Quick Ratio (MRQ),,0.8,Financial strength,
Interest Coverage (MRQ),5.29,40.35,Financial strength,0.13110285006195788
