,GATX
% Below High,0.12279999999999999
% Held by Institutions,1.0179
52-Wk Range,['84.96 - 127.58']
Annual Dividend $,2.08
Annual Dividend %,0.018600000000000002
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.1
Bid,44.97
Bid Size,
Closing Price,111.91
Day Change $,-0.08
Day Change %,-0.0007000000000000001
Day High,113.32
Day Low,111.91
Dividend Pay Date,2022-12-31 00:00:00
"EPS (TTM, GAAP)",4.69
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.294
Last (size),17.0
Last (time),5:00p ET 11/25/22
Market Cap,3.9B
"P/E Ratio (TTM, GAAP)",23.87
Prev Close,111.99
Short Interest,0.0672
Today's Open,112.37
Volume,35212.0
Volume 10-day Avg,119191.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-24 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.3111111111111111
Growth 1yr High Est,0.3157894736842106
Growth 1yr Consensus Est,0.31345029239766087
Growth 2yr Low Est,0.19369114877589444
Growth 2yr High Est,0.2287280701754386
Growth 2yr Consensus Est,0.21120960947566653
Growth 5yr Low Est,0.12912743251726297
Growth 5yr High Est,0.15248538011695909
Growth 5yr Consensus Est,0.14080640631711103
Growth 5yr Actual/Est,0.07268013856600272
Growth 3yr Historic,-0.07501315985889487
Price/Earnings (TTM),23.8749
Price/Sales (TTM),3.09859
Price/Book (MRQ),2.03175
Price/Cash Flow (TTM),7.7912
5yr Low,50.69
5yr High,127.58
5yr Avg Return,0.11513333333333334
EPS Growth 5yr,-0.0875865
Revenue Growth 5yr,-0.0237949
Dividend Growth 5yr,0.045639599999999995
Short Int Current Month,2336237.0
Short Int Prev Month,2600693.0
Short Int Pct of Float,0.06719610000000001
Days to Cover,16.93306
Float,34.79123
Shares Outstanding,35.2
Institutions Holding Shares,328.0
FCF Growth 5yr,0.10329418812564879
"Price/Earnings (TTM, GAAP)",23.87
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7572
Operating Profit Margin (TTM),0.2544
Net Profit Margin (TTM),0.10300000000000001
Annual Dividend Yield,0.018600000000000002
Dividend Change %,0.0417
"Dividend Growth Rate, 3 Years",0.0435
EPS Growth (MRQ),10.286800000000001
EPS Growth (TTM),0.6823
Revenue Growth (MRQ),0.0265
Revenue Growth (TTM),0.0242
Return On Equity (TTM),0.086
Return On Assets (TTM),0.013500000000000002
Return On Investment (TTM),0.0141
Revenue Per Employee (TTM),682394.0
Total Debt/Total Capital (MRQ),0.7665000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0002
Quick Ratio (MRQ),
Interest Coverage (MRQ),1.83
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2021-10-22 00:00:00
researchTeam since,2022-07-29 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-07-29 00:00:00
cfra since,
marketEdge opinion since,
