,IBM,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",91.61,53.12,Valuation,1.724585843373494
Price/Sales (TTM),2.22,19.35,Valuation,0.11472868217054263
Price/Book (MRQ),6.68,19.03,Valuation,0.35102469784550705
"PEG Ratio (TTM, GAAP)",9.94,3.41,Valuation,2.914956011730205
Gross Profit Margin (TTM),0.5378000000000001,0.44520000000000004,Profitability,1.2079964061096136
Operating Profit Margin (TTM),0.0118,0.3027,Profitability,0.03898249091509745
Net Profit Margin (TTM),0.0246,0.23600000000000002,Profitability,0.10423728813559321
Annual Dividend Yield,0.044500000000000005,0.010400000000000001,Dividend,4.278846153846154
Dividend Change %,0.0061,0.0818,Dividend,0.07457212713936431
"Dividend Growth Rate, 3 Years",0.0179,0.1223,Dividend,0.1463614063777596
EPS Growth (MRQ),-3.2159,-3.5570999999999997,Gowth rates,0.9040791656124372
EPS Growth (TTM),-0.23920000000000002,0.15560000000000002,Gowth rates,-1.5372750642673523
Revenue Growth (MRQ),-0.0919,0.16460000000000002,Gowth rates,-0.5583232077764276
Revenue Growth (TTM),0.4216,0.2273,Gowth rates,1.8548174219093707
Return On Equity (TTM),0.0703,0.5459,Effectiveness,0.1287781644989925
Return On Assets (TTM),0.011000000000000001,0.1131,Effectiveness,0.09725906277630415
Return On Investment (TTM),0.0146,0.189,Effectiveness,0.07724867724867725
Revenue Per Employee (TTM),196795.0,686063.0,Effectiveness,0.28684683476590345
Total Debt/Total Capital (MRQ),0.7162999999999999,0.5613,Financial strength,1.2761446641724565
Change in Debt/Total Capital Quarter over Quarter,0.0007000000000000001,0.0048,Financial strength,0.14583333333333337
Quick Ratio (MRQ),0.89,0.16,Financial strength,5.5625
Interest Coverage (MRQ),30.29,27.21,Financial strength,1.1131936787945607
