,IBM
% Below High,0.0139
% Held by Institutions,0.5535
52-Wk Range,['114.56 - 150.46']
Annual Dividend $,6.6
Annual Dividend %,0.044500000000000005
Ask,148.89
Ask Size,100.0
B/A Ratio,9.0
B/A Size,900x100
Beta,0.9
Bid,148.37
Bid Size,900.0
Closing Price,148.37
Day Change $,-0.38
Day Change %,-0.0026
Day High,149.49
Day Low,148.1
Dividend Pay Date,2022-12-10 00:00:00
"EPS (TTM, GAAP)",1.62
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.23500000000000001
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,134.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",91.61
Prev Close,148.75
Short Interest,0.0337
Today's Open,148.27
Volume,2075156.0
Volume 10-day Avg,4506100.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-23 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.08394160583941601
Growth 1yr High Est,0.07249712313003465
Growth 1yr Consensus Est,0.07821936448472533
Growth 2yr Low Est,0.008861936477508214
Growth 2yr High Est,0.09901680190836493
Growth 2yr Consensus Est,0.05393936919293657
Growth 5yr Low Est,-0.08350278570446354
Growth 5yr High Est,-0.031556917863857975
Growth 5yr Consensus Est,-0.05752985178416076
Growth 5yr Actual/Est,-0.049541682559319816
Growth 3yr Historic,-0.10213419987088376
Price/Earnings (TTM),91.61017
Price/Sales (TTM),2.21603
Price/Book (MRQ),6.68187
Price/Cash Flow (TTM),20.53348
5yr Low,90.56
5yr High,171.13
5yr Avg Return,0.006266666666666668
EPS Growth 5yr,-0.16232500000000002
Revenue Growth 5yr,-0.0642137
Dividend Growth 5yr,0.0355611
Short Int Current Month,30466418.0
Short Int Prev Month,28957162.0
Short Int Pct of Float,0.0337277
Days to Cover,6.36947
Float,903.3251
Shares Outstanding,904.1263
Institutions Holding Shares,2833.0
FCF Growth 5yr,-0.01035789380858291
"Price/Earnings (TTM, GAAP)",91.61
"PEG Ratio (TTM, GAAP)",9.94
Gross Profit Margin (TTM),0.5378000000000001
Operating Profit Margin (TTM),0.0118
Net Profit Margin (TTM),0.0246
Annual Dividend Yield,0.044500000000000005
Dividend Change %,0.0061
"Dividend Growth Rate, 3 Years",0.0179
EPS Growth (MRQ),-3.2159
EPS Growth (TTM),-0.23920000000000002
Revenue Growth (MRQ),-0.0919
Revenue Growth (TTM),0.4216
Return On Equity (TTM),0.0703
Return On Assets (TTM),0.011000000000000001
Return On Investment (TTM),0.0146
Revenue Per Employee (TTM),196795.0
Total Debt/Total Capital (MRQ),0.7162999999999999
Change in Debt/Total Capital Quarter over Quarter,0.0007000000000000001
Quick Ratio (MRQ),0.89
Interest Coverage (MRQ),30.29
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2022-10-20 00:00:00
researchTeam since,2022-08-20 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2021-01-22 00:00:00
ford since,2022-01-28 00:00:00
marketEdge opinion since,
