,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,42.31,38.14,37.74,47.58,47.28,,,,,
low,27.41,30.85,15.98,27.17,36.8,,,,,
change,-0.0599,0.1097,-0.26420000000000005,0.5312,-0.025400000000000002,,,,,
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Due from Banks,,,,,,133.0,130.0,123.0,119.0,Balance Sheet
Interest-Earning Deposits,,,,,,572.0,455.0,200.0,182.0,Balance Sheet
Other Short Trm Invest.,,,,,,53.0,52.0,83.0,60.0,Balance Sheet
Securities Held,,,,,,23.0,5.0,4.0,11.0,Balance Sheet
Securities for Sale,,,,,,1505.0,1906.0,1804.0,1672.0,Balance Sheet
Total Invest. Securities,,,,,,1527.0,1911.0,1809.0,1683.0,Balance Sheet
Loans Held for Sale,,,,,,80.0,80.0,62.0,60.0,Balance Sheet
Other Earning Assets,,,,,,38.0,39.0,39.0,39.0,Balance Sheet
"Other Erng. Assets, Total",,,,,,2271.0,2536.0,2194.0,2024.0,Balance Sheet
Total Gross Loans,,,,,,5231.0,5194.0,5528.0,6883.0,Balance Sheet
Loan Loss Allowances,,,,,,-65.0,-62.0,-63.0,-83.0,Balance Sheet
Net Loans,,,,,,5167.0,5132.0,5465.0,6799.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,104.0,80.0,82.0,99.0,Balance Sheet
"Goodwill, Net",,,,,,,,,137.0,Balance Sheet
Intangibles - Net,,,,,,68.0,72.0,72.0,74.0,Balance Sheet
"Other Assets, Total",,,,,,118.0,162.0,175.0,210.0,Balance Sheet
Total Assets,,,,,,7861.0,8112.0,8112.0,9463.0,Balance Sheet
Accrued Expenses,,,,,,90.0,205.0,110.0,126.0,Balance Sheet
Non-Interest Bearing Dep.,,,,,,2164.0,2296.0,2215.0,2667.0,Balance Sheet
Interest Bearing Deposits,,,,,,4407.0,4471.0,4088.0,5110.0,Balance Sheet
Total Deposits,,,,,,6571.0,6767.0,6303.0,7777.0,Balance Sheet
"Other Bearing Lblts, Total",,,,,,257.0,306.0,857.0,407.0,Balance Sheet
Total ST Borrowings,,,,,,53.0,,38.0,44.0,Balance Sheet
Long Term Debt,,,,,,157.0,157.0,158.0,202.0,Balance Sheet
Capital Lease Obligations,,,,,,3.0,,,,Balance Sheet
Total Long Term Debt,,,,,,160.0,157.0,158.0,202.0,Balance Sheet
Total Debt,,,,,,213.0,157.0,195.0,245.0,Balance Sheet
Total Liabilities,,,,,,7131.0,7435.0,7465.0,8556.0,Balance Sheet
Common Stock,,,,,,119.0,119.0,119.0,153.0,Balance Sheet
