,OBNK
% Below High,0.1085
% Held by Institutions,0.4778
52-Wk Range,['36.80 - 47.28']
Annual Dividend $,0.6
Annual Dividend %,0.014199999999999999
Ask,44.5
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,16.86
Bid Size,100.0
Closing Price,42.15
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-11-30 00:00:00
"EPS (TTM, GAAP)",3.54
Ex-dividend,2022-11-15 00:00:00
Ex-dividend Date,11/15/22
Historical Volatility,0.257
Last (size),85.0
Last (time),1:00p ET 11/25/22
Market Cap,1.3B
"P/E Ratio (TTM, GAAP)",11.92
Prev Close,42.15
Short Interest,0.0213
Today's Open,
Volume,43530.0
Volume 10-day Avg,93390.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,1.2000000000000002
Growth 1yr High Est,1.2857142857142856
Growth 1yr Consensus Est,1.2428571428571429
Growth 2yr Low Est,0.8142857142857144
Growth 2yr High Est,0.8474025974025974
Growth 2yr Consensus Est,0.8308441558441559
Growth 5yr Low Est,0.3099812850904554
Growth 5yr High Est,0.33964957456336764
Growth 5yr Consensus Est,0.3248154298269116
Growth 5yr Actual/Est,0.4379589369510225
Growth 3yr Historic,0.4118916242218449
Price/Earnings (TTM),11.91826
Price/Sales (TTM),4.23553
Price/Book (MRQ),1.42487
Price/Cash Flow (TTM),13.45738
5yr Low,15.98
5yr High,47.58
5yr Avg Return,0.05827999999999999
EPS Growth 5yr,0.6558144
Revenue Growth 5yr,0.11671469999999999
Dividend Growth 5yr,
Short Int Current Month,620216.0
Short Int Prev Month,497634.0
Short Int Pct of Float,0.0213437
Days to Cover,6.60493
Float,29.05844
Shares Outstanding,30.6742
Institutions Holding Shares,175.0
FCF Growth 5yr,0.8175615627777214
"Price/Earnings (TTM, GAAP)",11.92
"PEG Ratio (TTM, GAAP)",
Annual Dividend Yield,0.014199999999999999
Dividend Change %,0.298
"Dividend Growth Rate, 3 Years",0.7129000000000001
EPS Growth (MRQ),-0.36340000000000006
EPS Growth (TTM),-0.1467
Revenue Growth (MRQ),0.38680000000000003
Revenue Growth (TTM),0.1431
Return On Equity (TTM),0.1073
Return On Assets (TTM),0.0102
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0008
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-08-05 00:00:00
theStreet since,2021-05-19 00:00:00
ford since,2022-08-05 00:00:00
cfra since,
marketEdge opinion since,
