,WLK
Price/Earnings (TTM),5.18798
Price/Sales (TTM),0.84802
Price/Book (MRQ),1.4118
Price/Cash Flow (TTM),3.6332
5yr Low,28.99
5yr High,141.19
5yr Avg Return,0.02995000000000001
EPS Growth 5yr,0.3851793
Revenue Growth 5yr,0.1833666
Dividend Growth 5yr,0.08808099999999999
Short Int Current Month,2951909.0
Short Int Prev Month,2851102.0
Short Int Pct of Float,0.0913448
Days to Cover,2.54727
Float,32.35765
Shares Outstanding,127.5376
Institutions Holding Shares,448.0
% Held by Institutions,0.270999
FCF Growth 5yr,0.45875477174703944
