,WLK
% Above Low,0.25780000000000003
% Held by Institutions,0.271
52-Wk Range,['81.29 - 141.19']
Annual Dividend $,1.43
Annual Dividend %,0.0134
Ask,126.0
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.2
Bid,90.52
Bid Size,100.0
Closing Price,102.24
Day Change $,-4.16
Day Change %,-0.0391
Day High,105.09
Day Low,101.79
Dividend Pay Date,2022-12-09 00:00:00
"EPS (TTM, GAAP)",20.51
Ex-dividend,2022-11-23 00:00:00
Ex-dividend Date,11/23/22
Historical Volatility,0.391
Last (size),100.0
Last (time),7:00p ET 11/28/22
Market Cap,13.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",5.19
Prev Close,106.4
Short Interest,0.0913
Today's Open,104.66
Volume,488700.0
Volume 10-day Avg,545457.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,0.19383561643835612
Growth 1yr High Est,0.3341804320203303
Growth 1yr Consensus Est,0.2640080242293432
Growth 2yr Low Est,-0.190230786158332
Growth 2yr High Est,0.03970926362921279
Growth 2yr Consensus Est,-0.0752607612645596
Growth 5yr Low Est,-0.190230786158332
Growth 5yr High Est,0.03970926362921279
Growth 5yr Consensus Est,-0.0752607612645596
Growth 5yr Actual/Est,1.3378956844860799
Growth 3yr Historic,1.3899387854382312
Price/Earnings (TTM),5.18798
Price/Sales (TTM),0.84802
Price/Book (MRQ),1.4118
Price/Cash Flow (TTM),3.6332
5yr Low,28.99
5yr High,141.19
5yr Avg Return,0.02995000000000001
EPS Growth 5yr,0.3851793
Revenue Growth 5yr,0.1833666
Dividend Growth 5yr,0.08808099999999999
Short Int Current Month,2951909.0
Short Int Prev Month,2851102.0
Short Int Pct of Float,0.0913448
Days to Cover,2.54727
Float,32.35765
Shares Outstanding,127.5376
Institutions Holding Shares,448.0
FCF Growth 5yr,0.45875477174703944
"Price/Earnings (TTM, GAAP)",5.19
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2876
Operating Profit Margin (TTM),0.22469999999999998
Net Profit Margin (TTM),0.16940000000000002
Annual Dividend Yield,0.0134
Dividend Change %,0.06570000000000001
"Dividend Growth Rate, 3 Years",0.0725
EPS Growth (MRQ),-0.5301
EPS Growth (TTM),0.7859999999999999
Revenue Growth (MRQ),-0.1176
Revenue Growth (TTM),0.5633
Return On Equity (TTM),0.3127
Return On Assets (TTM),0.1444
Return On Investment (TTM),0.16920000000000002
Revenue Per Employee (TTM),1099794.0
Total Debt/Total Capital (MRQ),0.3212
Change in Debt/Total Capital Quarter over Quarter,-0.0023
Quick Ratio (MRQ),1.66
Interest Coverage (MRQ),11.86
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-10-07 00:00:00
theStreet since,2021-02-24 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-11-03 00:00:00
ford since,2022-10-07 00:00:00
marketEdge opinion since,
