,NEWR,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),4.22,9.39,Valuation,0.44941427050053245
Price/Book (MRQ),11.13,12.63,Valuation,0.8812351543942993
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.6934,0.7206,Profitability,0.9622536774909798
Operating Profit Margin (TTM),-0.2446,0.2172,Profitability,-1.1261510128913443
Net Profit Margin (TTM),-0.24600000000000002,0.1553,Profitability,-1.5840309079201547
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),-0.3221,-0.0752,Gowth rates,4.283244680851063
EPS Growth (TTM),0.0941,-0.2824,Gowth rates,-0.33321529745042494
Revenue Growth (MRQ),0.0483,0.15560000000000002,Gowth rates,0.31041131105398456
Revenue Growth (TTM),0.1923,0.1906,Gowth rates,1.008919202518363
Return On Equity (TTM),-0.6475,0.2189,Effectiveness,-2.957971676564641
Return On Assets (TTM),-0.1618,0.10740000000000001,Effectiveness,-1.5065176908752327
Return On Investment (TTM),-0.3235,0.1387,Effectiveness,-2.3323720259552996
Revenue Per Employee (TTM),384625.0,667721.0,Effectiveness,0.5760265140680014
Total Debt/Total Capital (MRQ),0.5933,0.39659999999999995,Financial strength,1.4959657085224412
Change in Debt/Total Capital Quarter over Quarter,-0.0001,0.0004,Financial strength,-0.25
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),,0.28,Financial strength,
