,NEWR
% Above Low,0.2631
% Held by Institutions,0.8436
52-Wk Range,['41.66 - 114.28']
Annual Dividend $,
Annual Dividend %,
Ask,59.0
Ask Size,1900.0
B/A Ratio,0.05263157894736842
B/A Size,100x1900
Beta,0.9
Bid,48.0
Bid Size,100.0
Change Since Close,-0.02| |(-0.04%)
Closing Price,52.62
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.57
Ex-dividend Date,No dividend
Historical Volatility,0.636
Last (size),5.0
Last (time),5:00p ET 11/25/22
Last Trade,52.6
Market Cap,3.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,52.62
Short Interest,0.0322
Today's Open,
Volume,7.0
Volume 10-day Avg,637033.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,-1.1733333333333333
Growth 1yr High Est,-1.3013698630136985
Growth 1yr Consensus Est,-1.237351598173516
Growth 2yr Low Est,-0.3174358974358974
Growth 2yr High Est,1.4402241594022416
Growth 2yr Consensus Est,0.561394130983172
Growth 5yr Low Est,-0.3174358974358974
Growth 5yr High Est,1.4402241594022416
Growth 5yr Consensus Est,0.561394130983172
Growth 5yr Actual/Est,0.33085554796081107
Growth 3yr Historic,-0.04166666666666663
Price/Earnings (TTM),
Price/Sales (TTM),4.21706
Price/Book (MRQ),11.12928
Price/Cash Flow (TTM),
5yr Low,33.49
5yr High,129.7
5yr Avg Return,0.06003333333333335
EPS Growth 5yr,
Revenue Growth 5yr,0.24417750000000002
Dividend Growth 5yr,
Short Int Current Month,1773377.0
Short Int Prev Month,1899420.0
Short Int Pct of Float,0.032176300000000005
Days to Cover,2.53655
Float,55.1384
Shares Outstanding,68.33808
Institutions Holding Shares,329.0
FCF Growth 5yr,-1.8198754049112444
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6934
Operating Profit Margin (TTM),-0.2446
Net Profit Margin (TTM),-0.24600000000000002
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.3221
EPS Growth (TTM),0.0941
Revenue Growth (MRQ),0.0483
Revenue Growth (TTM),0.1923
Return On Equity (TTM),-0.6475
Return On Assets (TTM),-0.1618
Return On Investment (TTM),-0.3235
Revenue Per Employee (TTM),384625.0
Total Debt/Total Capital (MRQ),0.5933
Change in Debt/Total Capital Quarter over Quarter,-0.0001
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2019-11-06 00:00:00
theStreet since,2019-11-06 00:00:00
cfra since,2022-05-17 00:00:00
ford since,2022-10-28 00:00:00
marketEdge opinion since,
