,ASB,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",11.47,11.43,Valuation,1.0034995625546808
Price/Sales (TTM),3.18,3.3,Valuation,0.9636363636363637
Price/Book (MRQ),0.98,1.46,Valuation,0.6712328767123288
"PEG Ratio (TTM, GAAP)",,1.15,Valuation,
Gross Profit Margin (TTM),,0.0072,Profitability,
Operating Profit Margin (TTM),0.3608,0.34240000000000004,Profitability,1.0537383177570092
Net Profit Margin (TTM),0.2888,0.2812,Profitability,1.027027027027027
Annual Dividend Yield,0.034300000000000004,0.028700000000000003,Dividend,1.1951219512195121
Dividend Change %,0.0556,-0.0086,Dividend,-6.465116279069767
"Dividend Growth Rate, 3 Years",0.0702,0.0734,Dividend,0.9564032697547683
EPS Growth (MRQ),0.1124,-0.0335,Gowth rates,-3.355223880597015
EPS Growth (TTM),0.0207,-0.09960000000000001,Gowth rates,-0.2078313253012048
Revenue Growth (MRQ),0.3279,0.5429,Gowth rates,0.6039786332657948
Revenue Growth (TTM),0.1826,0.2466,Gowth rates,0.740470397404704
Return On Equity (TTM),0.0848,0.1135,Effectiveness,0.747136563876652
Return On Assets (TTM),0.0092,0.0099,Effectiveness,0.9292929292929292
Return On Investment (TTM),,-0.0004,Effectiveness,
Revenue Per Employee (TTM),,7475.75,Effectiveness,
Total Debt/Total Capital (MRQ),,0.0086,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,-0.0015,0.0009,Financial strength,-1.6666666666666667
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),,,Financial strength,
