,ASB
% Below High,0.0504
% Held by Institutions,0.8070999999999999
52-Wk Range,['17.45 - 25.78']
Annual Dividend $,0.84
Annual Dividend %,0.034300000000000004
Ask,30.0
Ask Size,200.0
B/A Ratio,2.5
B/A Size,500x200
Beta,1.0
Bid,20.3
Bid Size,500.0
Closing Price,24.48
Day Change $,0.15
Day Change %,0.0062
Day High,24.51
Day Low,24.28
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",2.13
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.312
Last (size),71.0
Last (time),5:00p ET 11/25/22
Market Cap,3.7B
"P/E Ratio (TTM, GAAP)",11.47
Prev Close,24.33
Short Interest,0.0292
Today's Open,24.41
Volume,314882.0
Volume 10-day Avg,1086229.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-19 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.08173076923076916
Growth 1yr High Est,0.0730593607305936
Growth 1yr Consensus Est,0.07739506498068138
Growth 2yr Low Est,-0.014690170940170999
Growth 2yr High Est,0.11099776547167983
Growth 2yr Consensus Est,0.04815379726575442
Growth 5yr Low Est,0.019672739787911675
Growth 5yr High Est,0.08929459522007702
Growth 5yr Consensus Est,0.054483667503994346
Growth 5yr Actual/Est,0.062357887104230264
Growth 3yr Historic,0.02905136182522791
Price/Earnings (TTM),11.47002
Price/Sales (TTM),3.18047
Price/Book (MRQ),0.97877
Price/Cash Flow (TTM),9.69901
5yr Low,10.23
5yr High,29.03
5yr Avg Return,0.013100000000000002
EPS Growth 5yr,0.1155814
Revenue Growth 5yr,0.0016672999999999998
Dividend Growth 5yr,0.11050420000000001
Short Int Current Month,4271051.0
Short Int Prev Month,5167216.0
Short Int Pct of Float,0.0292077
Days to Cover,3.56897
Float,146.5632
Shares Outstanding,150.3592
Institutions Holding Shares,372.0
FCF Growth 5yr,0.31833166542027297
"Price/Earnings (TTM, GAAP)",11.47
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.3608
Net Profit Margin (TTM),0.2888
Annual Dividend Yield,0.034300000000000004
Dividend Change %,0.0556
"Dividend Growth Rate, 3 Years",0.0702
EPS Growth (MRQ),0.1124
EPS Growth (TTM),0.0207
Revenue Growth (MRQ),0.3279
Revenue Growth (TTM),0.1826
Return On Equity (TTM),0.0848
Return On Assets (TTM),0.0092
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0015
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
theStreet,rating-box
marketEdge opinion,
researchTeam since,2018-07-21 00:00:00
cfra since,2018-07-21 00:00:00
ford since,2022-10-21 00:00:00
newConstructs since,2022-11-25 00:00:00
theStreet since,2021-10-18 00:00:00
marketEdge opinion since,
