,RNR
% Below High,0.018000000000000002
% Held by Institutions,0.9808
52-Wk Range,['124.18 - 187.89']
Annual Dividend $,1.48
Annual Dividend %,0.0079
Ask,184.69
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,0.4
Bid,184.21
Bid Size,200.0
Day Change $,-2.07
Day Change %,-0.0111
Day High,186.55
Day Low,183.92
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",-31.2
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.313
Last (size),100.0
Last (time),1:02p ET 11/28/22
Market Cap,8.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,186.56
Price,184.5
Short Interest,0.0233
Today's Open,185.33
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-2.173684210526316
Growth 1yr High Est,1.1609498680738786
Growth 1yr Consensus Est,-0.5063671712262188
Growth 2yr Low Est,2.5970143969789943
Growth 2yr High Est,1.7593516129136182
Growth 2yr Consensus Est,2.1781830049463062
Growth 5yr Low Est,0.9942214842037829
Growth 5yr High Est,0.7212217001766159
Growth 5yr Consensus Est,0.8577215921901994
Growth 5yr Actual/Est,4.444478065356125
Growth 3yr Historic,3.0866192040890836
Price/Earnings (TTM),
Price/Sales (TTM),1.81117
Price/Book (MRQ),1.9732
Price/Cash Flow (TTM),
5yr Low,113.27
5yr High,202.68
5yr Avg Return,0.06846666666666666
EPS Growth 5yr,
Revenue Growth 5yr,0.2498412
Dividend Growth 5yr,0.030358
Short Int Current Month,1002382.0
Short Int Prev Month,709625.0
Short Int Pct of Float,0.023344399999999998
Days to Cover,1.61941
Float,42.96635
Shares Outstanding,43.70189
Institutions Holding Shares,450.0
FCF Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-0.3299
Net Profit Margin (TTM),-0.34759999999999996
Annual Dividend Yield,0.0079
Dividend Change %,0.3714
"Dividend Growth Rate, 3 Years",0.0294
EPS Growth (MRQ),-1.5588
EPS Growth (TTM),-11.544400000000001
Revenue Growth (MRQ),0.41270000000000007
Revenue Growth (TTM),-0.1464
Return On Equity (TTM),-0.2635
Return On Assets (TTM),-0.0451
Return On Investment (TTM),
Revenue Per Employee (TTM),6936111.0
Total Debt/Total Capital (MRQ),0.1144
Change in Debt/Total Capital Quarter over Quarter,-0.0004
Quick Ratio (MRQ),
Interest Coverage (MRQ),-64.43
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-11-04 00:00:00
theStreet since,2022-03-11 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2021-07-23 00:00:00
ford since,2022-11-04 00:00:00
marketEdge opinion since,
