,RNR,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,19.61,Valuation,
Price/Sales (TTM),1.81,2.33,Valuation,0.776824034334764
Price/Book (MRQ),1.97,3.82,Valuation,0.5157068062827225
"PEG Ratio (TTM, GAAP)",,37.63,Valuation,
Gross Profit Margin (TTM),,0.0226,Profitability,
Operating Profit Margin (TTM),-0.3299,0.1298,Profitability,-2.541602465331279
Net Profit Margin (TTM),-0.34759999999999996,0.10460000000000001,Profitability,-3.3231357552581255
Annual Dividend Yield,0.0079,0.0168,Dividend,0.4702380952380953
Dividend Change %,0.3714,-0.0075,Dividend,-49.52
"Dividend Growth Rate, 3 Years",0.0294,0.0225,Dividend,1.3066666666666666
EPS Growth (MRQ),-1.5588,-0.0779,Gowth rates,20.010269576379976
EPS Growth (TTM),-11.544400000000001,-0.005200000000000001,Gowth rates,2220.076923076923
Revenue Growth (MRQ),0.41270000000000007,0.0897,Gowth rates,4.600891861761427
Revenue Growth (TTM),-0.1464,0.042800000000000005,Gowth rates,-3.420560747663551
Return On Equity (TTM),-0.2635,0.3775,Effectiveness,-0.6980132450331126
Return On Assets (TTM),-0.0451,0.031200000000000002,Effectiveness,-1.4455128205128205
Return On Investment (TTM),,0.035,Effectiveness,
Revenue Per Employee (TTM),6936111.0,1261907.0,Effectiveness,5.4965310438883375
Total Debt/Total Capital (MRQ),0.1144,0.4026,Financial strength,0.28415300546448086
Change in Debt/Total Capital Quarter over Quarter,-0.0004,0.002,Financial strength,-0.2
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),-64.43,10.79,Financial strength,-5.971269694161261
