,PFE,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",9.33,26.92,Valuation,0.3465824665676077
Price/Sales (TTM),2.77,18.11,Valuation,0.1529541689674213
Price/Book (MRQ),2.98,11.51,Valuation,0.2589052997393571
"PEG Ratio (TTM, GAAP)",,0.46,Valuation,
Gross Profit Margin (TTM),0.6551,0.6773,Profitability,0.9672227963974606
Operating Profit Margin (TTM),0.3608,-0.8239000000000001,Profitability,-0.4379172229639519
Net Profit Margin (TTM),0.30350000000000005,-0.8640000000000001,Profitability,-0.35127314814814814
Annual Dividend Yield,0.0325,0.0217,Dividend,1.4976958525345623
Dividend Change %,0.0263,0.0947,Dividend,0.27771911298838436
"Dividend Growth Rate, 3 Years",0.0468,0.084,Dividend,0.5571428571428572
EPS Growth (MRQ),-0.1268,0.0883,Gowth rates,-1.436013590033975
EPS Growth (TTM),0.5404,0.5870000000000001,Gowth rates,0.9206132879045995
Revenue Growth (MRQ),-0.184,0.0441,Gowth rates,-4.172335600907029
Revenue Growth (TTM),0.4472,0.1761,Gowth rates,2.5394662123793297
Return On Equity (TTM),0.3591,0.30160000000000003,Effectiveness,1.1906498673740051
Return On Assets (TTM),0.16149999999999998,0.092,Effectiveness,1.7554347826086953
Return On Investment (TTM),0.2101,0.13820000000000002,Effectiveness,1.520260492040521
Revenue Per Employee (TTM),1261722.0,1425813.0,Effectiveness,0.8849140805982271
Total Debt/Total Capital (MRQ),0.28300000000000003,0.4169,Financial strength,0.6788198608779085
Change in Debt/Total Capital Quarter over Quarter,-0.0016,0.0,Financial strength,-inf
Quick Ratio (MRQ),1.37,1.22,Financial strength,1.1229508196721312
Interest Coverage (MRQ),24.07,26.08,Financial strength,0.9229294478527608
