,PFE
% Above Low,0.19030000000000002
% Held by Institutions,0.6808
52-Wk Range,['41.45 - 61.71']
Annual Dividend $,1.6
Annual Dividend %,0.0325
Ask,49.34
Ask Size,1500.0
B/A Ratio,0.2
B/A Size,300x1500
Beta,0.7
Bid,49.33
Bid Size,300.0
Day Change $,0.12
Day Change %,0.0024
Day High,49.68
Day Low,49.06
Dividend Pay Date,2022-12-05 00:00:00
"EPS (TTM, GAAP)",5.27
Ex-dividend,2022-11-03 00:00:00
Ex-dividend Date,11/03/22
Historical Volatility,0.29600000000000004
Last (size),1000.0
Last (time),10:35a ET 11/28/22
Market Cap,277.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",9.33
Prev Close,49.21
Price,49.33
Short Interest,0.0125
Today's Open,49.18
Volume Past Day,(Average)
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,0.5496368038740922
Growth 1yr High Est,0.5347222222222221
Growth 1yr Consensus Est,0.5421795130481571
Growth 2yr Low Est,0.07091215193704609
Growth 2yr High Est,0.35257981397687277
Growth 2yr Consensus Est,0.21174598295695943
Growth 5yr Low Est,0.15420607596852307
Growth 5yr High Est,0.2874939203663628
Growth 5yr Consensus Est,0.22084999816744288
Growth 5yr Actual/Est,0.24155536010269335
Growth 3yr Historic,0.1858833409680867
Price/Earnings (TTM),9.3336
Price/Sales (TTM),2.77129
Price/Book (MRQ),2.98133
Price/Cash Flow (TTM),7.87634
5yr Low,27.88
5yr High,61.71
5yr Avg Return,0.08326666666666666
EPS Growth 5yr,0.2743101
Revenue Growth 5yr,0.0900315
Dividend Growth 5yr,0.053874000000000005
Short Int Current Month,70044794.0
Short Int Prev Month,54691142.0
Short Int Pct of Float,0.0124848
Days to Cover,3.11317
Float,5610.757
Shares Outstanding,5613.314
Institutions Holding Shares,3826.0
FCF Growth 5yr,0.28028632464440195
"Price/Earnings (TTM, GAAP)",9.33
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6551
Operating Profit Margin (TTM),0.3608
Net Profit Margin (TTM),0.30350000000000005
Annual Dividend Yield,0.0325
Dividend Change %,0.0263
"Dividend Growth Rate, 3 Years",0.0468
EPS Growth (MRQ),-0.1268
EPS Growth (TTM),0.5404
Revenue Growth (MRQ),-0.184
Revenue Growth (TTM),0.4472
Return On Equity (TTM),0.3591
Return On Assets (TTM),0.16149999999999998
Return On Investment (TTM),0.2101
Revenue Per Employee (TTM),1261722.0
Total Debt/Total Capital (MRQ),0.28300000000000003
Change in Debt/Total Capital Quarter over Quarter,-0.0016
Quick Ratio (MRQ),1.37
Interest Coverage (MRQ),24.07
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-09-23 00:00:00
theStreet since,2021-05-04 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2021-08-13 00:00:00
ford since,2022-09-23 00:00:00
marketEdge opinion since,
