,TMHC
% Below High,0.1732
% Held by Institutions,1.0098
52-Wk Range,['20.05 - 35.51']
Annual Dividend $,
Annual Dividend %,
Ask,30.5
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.7
Bid,28.21
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,29.36
Day Change $,0.01
Day Change %,0.0003
Day High,29.85
Day Low,29.13
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",8.79
Ex-dividend Date,No dividend
Historical Volatility,0.495
Last (size),3700.0
Last (time),4:10p ET 11/28/22
Last Trade,0.0
Market Cap,3.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",3.34
Prev Close,29.35
Short Interest,0.0594
Today's Open,29.28
Volume,1134238.0
Volume 10-day Avg,826605.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.8868686868686868
Growth 1yr High Est,0.8085106382978724
Growth 1yr Consensus Est,0.8476896625832796
Growth 2yr Low Est,0.12651785521164532
Growth 2yr High Est,0.27323927636818757
Growth 2yr Consensus Est,0.19987856578991645
Growth 5yr Low Est,0.12651785521164532
Growth 5yr High Est,0.27323927636818757
Growth 5yr Consensus Est,0.19987856578991645
Growth 5yr Actual/Est,0.4841416025672711
Growth 3yr Historic,0.3888297872340425
Price/Earnings (TTM),3.33802
Price/Sales (TTM),0.386
Price/Book (MRQ),0.73277
Price/Cash Flow (TTM),2.89286
5yr Low,6.39
5yr High,35.51
5yr Avg Return,0.06533333333333334
EPS Growth 5yr,0.2492355
Revenue Growth 5yr,0.1613965
Dividend Growth 5yr,
Short Int Current Month,6121110.0
Short Int Prev Month,6484769.0
Short Int Pct of Float,0.0593559
Days to Cover,5.94752
Float,103.1753
Shares Outstanding,108.3466
Institutions Holding Shares,382.0
FCF Growth 5yr,1.017553607441248
"Price/Earnings (TTM, GAAP)",3.34
"PEG Ratio (TTM, GAAP)",0.94
Gross Profit Margin (TTM),0.2482
Operating Profit Margin (TTM),0.1659
Net Profit Margin (TTM),0.1291
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.1128
EPS Growth (TTM),1.3449000000000002
Revenue Growth (MRQ),0.0199
Revenue Growth (TTM),0.2571
Return On Equity (TTM),0.2602
Return On Assets (TTM),0.1251
Return On Investment (TTM),0.1487
Revenue Per Employee (TTM),2746071.0
Total Debt/Total Capital (MRQ),0.38270000000000004
Change in Debt/Total Capital Quarter over Quarter,-0.0017000000000000001
Quick Ratio (MRQ),
Interest Coverage (MRQ),72.84
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-08-01 00:00:00
theStreet since,2022-11-11 00:00:00
cfra since,2022-08-01 00:00:00
ford since,2022-11-25 00:00:00
marketEdge opinion since,
