,TMHC,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",3.34,7.14,Valuation,0.4677871148459384
Price/Sales (TTM),0.39,7.33,Valuation,0.05320600272851296
Price/Book (MRQ),0.73,2.07,Valuation,0.3526570048309179
"PEG Ratio (TTM, GAAP)",0.94,0.43,Valuation,2.186046511627907
Gross Profit Margin (TTM),0.2482,0.3091,Profitability,0.8029763830475575
Operating Profit Margin (TTM),0.1659,0.1507,Profitability,1.1008626410086264
Net Profit Margin (TTM),0.1291,0.11320000000000001,Profitability,1.140459363957597
Annual Dividend Yield,,0.016399999999999998,Dividend,
Dividend Change %,,0.2639,Dividend,
"Dividend Growth Rate, 3 Years",,0.1757,Dividend,
EPS Growth (MRQ),0.1128,-0.0688,Gowth rates,-1.6395348837209303
EPS Growth (TTM),1.3449000000000002,0.16670000000000001,Gowth rates,8.067786442711459
Revenue Growth (MRQ),0.0199,0.1173,Gowth rates,0.16965046888320545
Revenue Growth (TTM),0.2571,0.149,Gowth rates,1.725503355704698
Return On Equity (TTM),0.2602,0.38439999999999996,Effectiveness,0.6768990634755463
Return On Assets (TTM),0.1251,0.135,Effectiveness,0.9266666666666665
Return On Investment (TTM),0.1487,0.1699,Effectiveness,0.8752207180694527
Revenue Per Employee (TTM),2746071.0,1633986.0,Effectiveness,1.6805964065787589
Total Debt/Total Capital (MRQ),0.38270000000000004,0.29309999999999997,Financial strength,1.3056977140907542
Change in Debt/Total Capital Quarter over Quarter,-0.0017000000000000001,-0.0005,Financial strength,3.4000000000000004
Quick Ratio (MRQ),,0.53,Financial strength,
Interest Coverage (MRQ),72.84,51.09,Financial strength,1.4257193188490898
