,BECN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",10.82,17.46,Valuation,0.6197021764032073
Price/Sales (TTM),0.47,2.11,Valuation,0.22274881516587677
Price/Book (MRQ),2.1,6.17,Valuation,0.34035656401944897
"PEG Ratio (TTM, GAAP)",,0.31,Valuation,
Gross Profit Margin (TTM),0.2655,0.42710000000000004,Profitability,0.6216342776867244
Operating Profit Margin (TTM),0.08320000000000001,0.14730000000000001,Profitability,0.5648336727766463
Net Profit Margin (TTM),0.0552,0.0835,Profitability,0.6610778443113772
Annual Dividend Yield,,0.0125,Dividend,
Dividend Change %,,0.053099999999999994,Dividend,
"Dividend Growth Rate, 3 Years",,0.0517,Dividend,
EPS Growth (MRQ),-0.0817,0.4814,Gowth rates,-0.16971333610303282
EPS Growth (TTM),0.9443000000000001,0.5656,Gowth rates,1.6695544554455448
Revenue Growth (MRQ),0.0242,0.1985,Gowth rates,0.12191435768261964
Revenue Growth (TTM),0.23690000000000003,0.2242,Gowth rates,1.0566458519179305
Return On Equity (TTM),0.21,0.3129,Effectiveness,0.6711409395973154
Return On Assets (TTM),0.0772,0.1319,Effectiveness,0.5852918877937833
Return On Investment (TTM),0.10560000000000001,0.17420000000000002,Effectiveness,0.6061997703788748
Revenue Per Employee (TTM),,1897425.0,Effectiveness,
Total Debt/Total Capital (MRQ),0.46490000000000004,0.4449,Financial strength,1.0449539222297146
Change in Debt/Total Capital Quarter over Quarter,0.0005,0.0005,Financial strength,1.0
Quick Ratio (MRQ),1.1,1.09,Financial strength,1.0091743119266054
Interest Coverage (MRQ),10.31,26.1,Financial strength,0.39501915708812263
