,BECN
% Below High,0.0965
% Held by Institutions,1.0254
52-Wk Range,['45.71 - 65.30']
Annual Dividend $,
Annual Dividend %,
Ask,60.5
Ask Size,200.0
B/A Ratio,3.0
B/A Size,600x200
Beta,1.6
Bid,45.0
Bid Size,600.0
Closing Price,59.0
Day Change $,-0.25
Day Change %,-0.0042
Day High,59.71
Day Low,58.89
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",5.45
Ex-dividend Date,No dividend
Historical Volatility,0.353
Last (size),24.0
Last (time),12:59p ET 11/25/22
Market Cap,3.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",10.82
Prev Close,59.25
Short Interest,0.0346
Today's Open,58.89
Volume,106113.0
Volume 10-day Avg,462872.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-08 00:00:00
Growth 1yr Low Est,1.9339207048458151
Growth 1yr High Est,2.117408906882591
Growth 1yr Consensus Est,2.025664805864203
Growth 2yr Low Est,0.8002936857562409
Growth 2yr High Est,1.1164966612335032
Growth 2yr Consensus Est,0.9583951734948721
Growth 5yr Low Est,0.40014684287812047
Growth 5yr High Est,0.5582483306167516
Growth 5yr Consensus Est,0.47919758674743596
Growth 5yr Actual/Est,0.37482621259389215
Growth 3yr Historic,0.3400131646310247
Price/Earnings (TTM),10.82454
Price/Sales (TTM),0.46726
Price/Book (MRQ),2.09633
Price/Cash Flow (TTM),6.52721
5yr Low,11.67
5yr High,66.48
5yr Avg Return,0.04503333333333333
Short Int Current Month,1721361.0
Short Int Prev Month,1837845.0
Short Int Pct of Float,0.0346377
Days to Cover,2.71002
Float,49.73974
Shares Outstanding,65.06194
Institutions Holding Shares,297.0
FCF Growth 5yr,-2.972356036677963
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",10.82
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2655
Operating Profit Margin (TTM),0.08320000000000001
Net Profit Margin (TTM),0.0552
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.0817
EPS Growth (TTM),0.9443000000000001
Revenue Growth (MRQ),0.0242
Revenue Growth (TTM),0.23690000000000003
Return On Equity (TTM),0.21
Return On Assets (TTM),0.0772
Return On Investment (TTM),0.10560000000000001
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),0.46490000000000004
Change in Debt/Total Capital Quarter over Quarter,0.0005
Quick Ratio (MRQ),1.1
Interest Coverage (MRQ),10.31
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-20 00:00:00
ford since,2022-11-11 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2021-08-09 00:00:00
