,MSGS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",79.02,-577.59,Valuation,-0.13680984781592478
Price/Sales (TTM),4.72,6.3,Valuation,0.7492063492063492
Price/Book (MRQ),,7.63,Valuation,
"PEG Ratio (TTM, GAAP)",,-24.63,Valuation,
Gross Profit Margin (TTM),0.48310000000000003,0.41159999999999997,Profitability,1.173712342079689
Operating Profit Margin (TTM),0.10300000000000001,0.0672,Profitability,1.5327380952380956
Net Profit Margin (TTM),0.0571,0.0336,Profitability,1.6994047619047619
Annual Dividend Yield,,0.0015,Dividend,
Dividend Change %,,0.018600000000000002,Dividend,
"Dividend Growth Rate, 3 Years",,0.010400000000000001,Dividend,
EPS Growth (MRQ),-1.6607,-1.1815,Gowth rates,1.4055861193398222
EPS Growth (TTM),25.6129,0.2345,Gowth rates,109.22345415778253
Revenue Growth (MRQ),-0.8625,0.2214,Gowth rates,-3.8956639566395665
Revenue Growth (TTM),1.1899,0.44170000000000004,Gowth rates,2.693909893592936
Return On Equity (TTM),,0.1716,Effectiveness,
Return On Assets (TTM),0.0353,0.0233,Effectiveness,1.5150214592274676
Return On Investment (TTM),0.055,0.027999999999999997,Effectiveness,1.9642857142857144
Revenue Per Employee (TTM),1770126.0,999442.0,Effectiveness,1.7711142817692271
Total Debt/Total Capital (MRQ),3.2014,0.4204,Financial strength,7.615128449096099
Change in Debt/Total Capital Quarter over Quarter,-0.0036,0.0014000000000000002,Financial strength,-2.571428571428571
Quick Ratio (MRQ),,0.41,Financial strength,
Interest Coverage (MRQ),-12.18,-3.12,Financial strength,3.9038461538461537
