,MSGS
% Below High,0.12179999999999999
% Held by Institutions,0.7885
52-Wk Range,['136.61 - 182.78']
Annual Dividend $,
Annual Dividend %,
Ask,175.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,146.69
Bid Size,100.0
Closing Price,160.51
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.03
Ex-dividend Date,No dividend
Historical Volatility,0.277
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,3.9B
"P/E Ratio (TTM, GAAP)",79.02
Prev Close,160.51
Short Interest,0.0447
Today's Open,
Volume,271934.0
Volume 10-day Avg,164478.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.25373134328358216
Growth 2yr High Est,-0.012096774193548265
Growth 2yr Consensus Est,-0.1329140587385652
Growth 5yr Low Est,-0.25373134328358216
Growth 5yr High Est,-0.012096774193548265
Growth 5yr Consensus Est,-0.1329140587385652
Growth 5yr Actual/Est,-1.4193385951439925
Growth 3yr Historic,-1.3775228527468548
Price/Earnings (TTM),79.01836
Price/Sales (TTM),4.72457
Price/Book (MRQ),
Price/Cash Flow (TTM),75.28213
5yr Low,136.61
5yr High,330.0
5yr Avg Return,-0.02771666666666666
EPS Growth 5yr,
Revenue Growth 5yr,-0.09031040000000001
Dividend Growth 5yr,
Short Int Current Month,699157.0
Short Int Prev Month,442244.0
Short Int Pct of Float,0.044670699999999994
Days to Cover,3.90466
Float,15.65137
Shares Outstanding,24.3322
Institutions Holding Shares,328.0
FCF Growth 5yr,0.8266655101304267
"Price/Earnings (TTM, GAAP)",79.02
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.48310000000000003
Operating Profit Margin (TTM),0.10300000000000001
Net Profit Margin (TTM),0.0571
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-1.6607
EPS Growth (TTM),25.6129
Revenue Growth (MRQ),-0.8625
Revenue Growth (TTM),1.1899
Return On Equity (TTM),
Return On Assets (TTM),0.0353
Return On Investment (TTM),0.055
Revenue Per Employee (TTM),1770126.0
Total Debt/Total Capital (MRQ),3.2014
Change in Debt/Total Capital Quarter over Quarter,-0.0036
Quick Ratio (MRQ),
Interest Coverage (MRQ),-12.18
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-06-24 00:00:00
theStreet since,2022-02-04 00:00:00
ford since,2022-06-24 00:00:00
cfra since,
marketEdge opinion since,
