,TER
% Above Low,0.33140000000000003
% Held by Institutions,1.0061
52-Wk Range,['67.81 - 168.91']
Annual Dividend $,0.44
Annual Dividend %,0.0048
Ask,90.22
Ask Size,300.0
Ask close,96.08
B/A Ratio,4.666666666666667
B/A Size,1400x300
Beta,1.5
Bid,90.22
Bid Size,1400.0
Bid close,84.57
Change Since Close,-0.08| |(-0.09%)
Closing Price,90.28
Day Change $,-2.31
Day Change %,-0.024900000000000002
Day High,92.25
Day Low,89.71
Dividend Pay Date,2022-12-21 00:00:00
"EPS (TTM, GAAP)",4.44
Ex-dividend,2022-11-25 00:00:00
Ex-dividend Date,11/25/22
Historical Volatility,0.535
Last (size),1.0
Last (time),3:59p ET 11/28/22
Last Trade,90.2
Market Cap,14.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",20.87
Prev Close,92.59
Short Interest,0.026099999999999998
Today's Open,91.27
Volume,1293706.0
Volume 10-day Avg,1342565.0
Volume Past Day,(Average)
Next Earnings Announcement,2023-01-24 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,-0.3008695652173914
Growth 1yr High Est,-0.29648241206030146
Growth 1yr Consensus Est,-0.2986759886388464
Growth 2yr Low Est,-0.33700194678780016
Growth 2yr High Est,-0.08633644412538882
Growth 2yr Consensus Est,-0.2116691954565945
Growth 5yr Low Est,0.07434405522598547
Growth 5yr High Est,0.19495736442463743
Growth 5yr Consensus Est,0.13465070982531147
Growth 5yr Actual/Est,0.1375911226454705
Growth 3yr Historic,0.22743922743922745
Price/Earnings (TTM),20.86869
Price/Sales (TTM),4.35924
Price/Book (MRQ),6.39887
Price/Cash Flow (TTM),16.38529
5yr Low,28.73
5yr High,168.91
5yr Avg Return,0.25978333333333337
EPS Growth 5yr,
Revenue Growth 5yr,0.16128599999999998
Dividend Growth 5yr,0.10756629999999999
Short Int Current Month,4048553.0
Short Int Prev Month,3722689.0
Short Int Pct of Float,0.026146500000000003
Days to Cover,2.31646
Float,154.8527
Shares Outstanding,155.7561
Institutions Holding Shares,983.0
FCF Growth 5yr,1.3768039637604854
"Price/Earnings (TTM, GAAP)",20.87
"PEG Ratio (TTM, GAAP)",88.8
Gross Profit Margin (TTM),0.5966
Operating Profit Margin (TTM),0.2776
Net Profit Margin (TTM),0.23190000000000002
Annual Dividend Yield,0.0048
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0357
EPS Growth (MRQ),-0.0477
EPS Growth (TTM),-0.16510000000000002
Revenue Growth (MRQ),-0.0163
Revenue Growth (TTM),-0.0751
Return On Equity (TTM),0.3201
Return On Assets (TTM),0.21670000000000003
Return On Investment (TTM),0.2727
Revenue Per Employee (TTM),560721.0
Total Debt/Total Capital (MRQ),0.0279
Change in Debt/Total Capital Quarter over Quarter,-0.0049
Quick Ratio (MRQ),2.59
Interest Coverage (MRQ),
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-08-20 00:00:00
theStreet since,2022-10-14 00:00:00
cfra since,2017-01-10 00:00:00
ford since,2022-09-23 00:00:00
marketEdge opinion since,
