,TER,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",20.87,20.56,Valuation,1.0150778210116733
Price/Sales (TTM),4.36,7.41,Valuation,0.5883940620782726
Price/Book (MRQ),6.4,13.13,Valuation,0.48743335872048743
"PEG Ratio (TTM, GAAP)",88.8,0.9,Valuation,98.66666666666666
Gross Profit Margin (TTM),0.5966,0.5489,Profitability,1.0869010748770267
Operating Profit Margin (TTM),0.2776,0.25739999999999996,Profitability,1.0784770784770787
Net Profit Margin (TTM),0.23190000000000002,0.2224,Profitability,1.0427158273381296
Annual Dividend Yield,0.0048,0.014499999999999999,Dividend,0.3310344827586207
Dividend Change %,0.0,0.0676,Dividend,0.0
"Dividend Growth Rate, 3 Years",0.0357,0.091,Dividend,0.39230769230769236
EPS Growth (MRQ),-0.0477,1.5356,Gowth rates,-0.031062776764782495
EPS Growth (TTM),-0.16510000000000002,0.2274,Gowth rates,-0.7260334212840811
Revenue Growth (MRQ),-0.0163,0.1335,Gowth rates,-0.12209737827715354
Revenue Growth (TTM),-0.0751,0.24170000000000003,Gowth rates,-0.3107157633429871
Return On Equity (TTM),0.3201,0.36920000000000003,Effectiveness,0.8670097508125676
Return On Assets (TTM),0.21670000000000003,0.16010000000000002,Effectiveness,1.353529044347283
Return On Investment (TTM),0.2727,0.1925,Effectiveness,1.4166233766233767
Revenue Per Employee (TTM),560721.0,898550.0,Effectiveness,0.6240287129263814
Total Debt/Total Capital (MRQ),0.0279,0.3576,Financial strength,0.07802013422818793
Change in Debt/Total Capital Quarter over Quarter,-0.0049,0.0,Financial strength,-inf
Quick Ratio (MRQ),2.59,2.24,Financial strength,1.1562499999999998
Interest Coverage (MRQ),,15.8,Financial strength,
