,TRN
% Below High,0.1525
% Held by Institutions,0.8858
52-Wk Range,['20.94 - 35.35']
Annual Dividend $,0.92
Annual Dividend %,0.0301
Ask,33.32
Ask Size,100.0
B/A Ratio,9.0
B/A Size,900x100
Beta,1.4
Bid,18.75
Bid Size,900.0
Change Since Close,0.00| |(0.00%)
Closing Price,29.96
Day Change $,-0.56
Day Change %,-0.0183
Day High,30.5
Day Low,29.8
Dividend Pay Date,2022-10-31 00:00:00
"EPS (TTM, GAAP)",0.51
Ex-dividend,2022-10-13 00:00:00
Ex-dividend Date,10/13/22
Historical Volatility,0.37200000000000005
Last (size),4700.0
Last (time),7:00p ET 11/28/22
Last Trade,0.0
Market Cap,2.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",60.29
Prev Close,30.52
Short Interest,0.0337
Today's Open,30.22
Volume,226242.0
Volume 10-day Avg,416964.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.8571428571428572
Growth 2yr High Est,0.9907407407407405
Growth 2yr Consensus Est,0.9239417989417988
Growth 5yr Low Est,0.8571428571428572
Growth 5yr High Est,0.9907407407407405
Growth 5yr Consensus Est,0.9239417989417988
Growth 5yr Actual/Est,0.5646635028292428
Growth 3yr Historic,-0.18540788494916935
Price/Earnings (TTM),60.28642
Price/Sales (TTM),1.52578
Price/Book (MRQ),2.47279
Price/Cash Flow (TTM),7.75173
5yr Low,14.53
5yr High,39.35
5yr Avg Return,0.003683333333333329
EPS Growth 5yr,-0.1935777
Revenue Growth 5yr,-0.13273110000000002
Dividend Growth 5yr,0.1380604
Short Int Current Month,2716289.0
Short Int Prev Month,2923410.0
Short Int Pct of Float,0.0336915
Days to Cover,4.93885
Float,80.69334
Shares Outstanding,81.40337
Institutions Holding Shares,311.0
FCF Growth 5yr,1.5360979894383924
"Price/Earnings (TTM, GAAP)",60.29
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.185
Operating Profit Margin (TTM),0.1576
Net Profit Margin (TTM),0.0338
Annual Dividend Yield,0.0301
Dividend Change %,0.10529999999999999
"Dividend Growth Rate, 3 Years",0.17329999999999998
EPS Growth (MRQ),1.5286000000000002
EPS Growth (TTM),1.4569999999999999
Revenue Growth (MRQ),0.1915
Revenue Growth (TTM),0.2743
Return On Equity (TTM),0.0354
Return On Assets (TTM),0.0064
Return On Investment (TTM),0.0072
Revenue Per Employee (TTM),278580.0
Total Debt/Total Capital (MRQ),0.8133
Change in Debt/Total Capital Quarter over Quarter,0.0005
Quick Ratio (MRQ),
Interest Coverage (MRQ),0.97
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-01-28 00:00:00
theStreet since,2022-11-21 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2021-11-26 00:00:00
cfra since,
marketEdge opinion since,
