,TRN
Price/Earnings (TTM),60.28642
Price/Sales (TTM),1.52578
Price/Book (MRQ),2.47279
Price/Cash Flow (TTM),7.75173
5yr Low,14.53
5yr High,39.35
5yr Avg Return,0.003683333333333329
EPS Growth 5yr,-0.1935777
Revenue Growth 5yr,-0.13273110000000002
Dividend Growth 5yr,0.1380604
Short Int Current Month,2716289.0
Short Int Prev Month,2923410.0
Short Int Pct of Float,0.0336915
Days to Cover,4.93885
Float,80.69334
Shares Outstanding,81.40337
Institutions Holding Shares,311.0
% Held by Institutions,0.885827
FCF Growth 5yr,1.5360979894383924
