,VRNS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),5.11,9.39,Valuation,0.54419595314164
Price/Book (MRQ),4.39,12.63,Valuation,0.3475851148060174
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.8466,0.7206,Profitability,1.1748542880932555
Operating Profit Margin (TTM),-0.2821,0.2172,Profitability,-1.298802946593002
Net Profit Margin (TTM),-0.3031,0.1553,Profitability,-1.951706374758532
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),0.21100000000000002,-0.0752,Gowth rates,-2.8058510638297873
EPS Growth (TTM),-0.1772,-0.2824,Gowth rates,0.6274787535410765
Revenue Growth (MRQ),0.10640000000000001,0.15560000000000002,Gowth rates,0.6838046272493573
Revenue Growth (TTM),0.2755,0.1906,Gowth rates,1.445435466946485
Return On Equity (TTM),-0.25010000000000004,0.2189,Effectiveness,-1.1425308359981727
Return On Assets (TTM),-0.131,0.10740000000000001,Effectiveness,-1.2197392923649906
Return On Investment (TTM),-0.1607,0.1387,Effectiveness,-1.158615717375631
Revenue Per Employee (TTM),221596.0,667721.0,Effectiveness,0.3318691489409499
Total Debt/Total Capital (MRQ),0.31829999999999997,0.39659999999999995,Financial strength,0.8025718608169441
Change in Debt/Total Capital Quarter over Quarter,0.0011,0.0004,Financial strength,2.75
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),,0.28,Financial strength,
